Tap #,Normalized delay,Power in [dB],Fading distribution,Type
1,0.0,-0.03,LOS path,TDL-E
2,0.0,-22.03,Rayleigh,TDL-E
3,0.5133,-15.8,Rayleigh,TDL-E
4,0.544,-18.1,Rayleigh,TDL-E
5,0.563,-19.8,Rayleigh,TDL-E
6,0.544,-22.9,Rayleigh,TDL-E
7,0.7112,-22.4,Rayleigh,TDL-E
8,1.9092,-18.6,Rayleigh,TDL-E
9,1.9293,-20.8,Rayleigh,TDL-E
10,1.9589,-22.6,Rayleigh,TDL-E
11,2.6426,-22.3,Rayleigh,TDL-E
12,3.7136,-25.6,Rayleigh,TDL-E
13,5.4524,-20.2,Rayleigh,TDL-E
14,12.0034,-29.8,Rayleigh,TDL-E
15,20.6519,-29.2,Rayleigh,TDL-E
