,rnti,tti,newTx,reTx,avgHarqID,id,percnt
0,1,7,161,240,0.256857855361596,2,0.5985037406483791
1,2,7,163,240,0.23573200992555832,3,0.5955334987593052
2,3,7,162,243,0.2641975308641975,4,0.6
3,4,7,161,243,0.2599009900990099,5,0.6014851485148515
4,5,7,160,246,0.24876847290640394,6,0.6059113300492611
5,6,7,162,252,0.28019323671497587,7,0.6086956521739131
6,7,7,162,240,0.27611940298507465,8,0.5970149253731343
7,8,7,163,245,0.27450980392156865,9,0.6004901960784313
8,9,7,163,251,0.26811594202898553,10,0.606280193236715
9,10,7,163,239,0.27611940298507465,11,0.5945273631840796
10,11,7,163,233,0.255050505050505,12,0.5883838383838383
11,12,7,163,236,0.2506265664160401,13,0.5914786967418546
12,13,7,163,230,0.23155216284987276,14,0.5852417302798982
13,14,7,163,227,0.22564102564102564,15,0.5820512820512821
14,15,7,163,236,0.23057644110275688,16,0.5914786967418546
15,16,7,163,236,0.22807017543859648,17,0.5914786967418546
16,17,7,162,242,0.26485148514851486,18,0.599009900990099
17,18,7,162,240,0.27114427860696516,19,0.5970149253731343
18,19,7,160,234,0.24619289340101522,20,0.5939086294416244
19,20,7,161,242,0.23076923076923078,21,0.6004962779156328
20,21,7,162,239,0.2543640897755611,22,0.5960099750623441
21,22,7,161,239,0.22,23,0.5975
22,23,7,161,248,0.2665036674816626,24,0.6063569682151589
23,24,7,161,245,0.23645320197044334,25,0.603448275862069
24,25,7,162,242,0.24752475247524752,26,0.599009900990099
25,26,7,161,233,0.21065989847715735,27,0.5913705583756346
26,27,7,161,224,0.22337662337662337,28,0.5818181818181818
27,28,7,161,228,0.2185089974293059,29,0.5861182519280206
28,29,7,162,235,0.25440806045340053,30,0.5919395465994962
29,30,7,162,238,0.2175,31,0.595
30,31,7,162,250,0.25485436893203883,32,0.6067961165048543
31,32,7,160,244,0.26732673267326734,33,0.6039603960396039
32,33,7,161,235,0.24494949494949494,34,0.5934343434343434
33,34,7,162,256,0.24641148325358853,35,0.6124401913875598
34,35,7,162,241,0.24317617866004962,36,0.598014888337469
35,36,7,162,244,0.229064039408867,37,0.6009852216748769
36,37,7,161,265,0.3192488262910798,38,0.6220657276995305
37,38,7,161,264,0.26588235294117646,39,0.6211764705882353
38,39,7,162,248,0.25609756097560976,40,0.6048780487804878
39,40,7,162,236,0.23869346733668342,41,0.592964824120603
40,41,7,162,223,0.21298701298701297,42,0.5792207792207792
41,42,7,162,223,0.24155844155844156,43,0.5792207792207792
42,43,7,161,226,0.2222222222222222,44,0.5839793281653747
43,44,7,162,217,0.22955145118733508,45,0.5725593667546174
44,45,7,162,223,0.22337662337662337,46,0.5792207792207792
45,46,7,162,220,0.20157068062827224,47,0.5759162303664922
46,47,7,162,211,0.21715817694369974,48,0.5656836461126006
47,48,7,162,211,0.2064343163538874,49,0.5656836461126006
48,49,7,161,223,0.20572916666666666,50,0.5807291666666666
49,50,7,161,235,0.24494949494949494,51,0.5934343434343434
50,1,4,460,300,0.8039473684210526,52,0.39473684210526316
51,2,4,461,294,0.8079470198675497,53,0.3894039735099338
52,3,4,458,294,0.8058510638297872,54,0.39095744680851063
53,4,4,463,306,0.812743823146944,55,0.39791937581274384
54,5,4,461,303,0.8089005235602095,56,0.39659685863874344
55,6,4,460,306,0.8120104438642297,57,0.39947780678851175
56,7,4,458,300,0.8073878627968337,58,0.39577836411609496
57,8,4,459,330,0.8833967046894804,59,0.41825095057034223
58,9,4,459,303,0.8083989501312336,60,0.39763779527559057
59,10,4,458,317,0.8593548387096774,61,0.40903225806451615
60,11,4,457,305,0.8228346456692913,62,0.400262467191601
61,12,4,461,308,0.8140442132639792,63,0.40052015604681407
62,13,4,457,309,0.835509138381201,64,0.40339425587467365
63,14,4,459,312,0.8404669260700389,65,0.4046692607003891
64,15,4,459,299,0.8087071240105541,66,0.3944591029023747
65,16,4,461,311,0.8290155440414507,67,0.4028497409326425
66,17,4,460,296,0.794973544973545,68,0.3915343915343915
67,18,4,458,302,0.8157894736842105,69,0.3973684210526316
68,19,4,456,296,0.7938829787234043,70,0.39361702127659576
69,20,4,461,305,0.8459530026109661,71,0.3981723237597911
70,21,4,459,304,0.8230668414154653,72,0.3984272608125819
71,22,4,459,292,0.7882822902796272,73,0.38881491344873503
72,23,4,453,277,0.7671232876712328,74,0.37945205479452054
73,24,4,459,292,0.7829560585885486,75,0.38881491344873503
74,25,4,457,304,0.8291721419185283,76,0.39947437582128775
75,26,4,455,295,0.7906666666666666,77,0.3933333333333333
76,27,4,458,298,0.8002645502645502,78,0.3941798941798942
77,28,4,458,289,0.7965194109772423,79,0.3868808567603748
78,29,4,461,304,0.8431372549019608,80,0.39738562091503266
79,30,4,458,299,0.8269484808454426,81,0.3949801849405548
80,31,4,457,305,0.8228346456692913,82,0.400262467191601
81,32,4,458,305,0.8191349934469201,83,0.399737876802097
82,33,4,457,296,0.8140770252324038,84,0.3930942895086321
83,34,4,456,302,0.8311345646437994,85,0.39841688654353563
84,35,4,457,284,0.7746288798920378,86,0.3832658569500675
85,36,4,456,296,0.8018617021276596,87,0.39361702127659576
86,37,4,458,293,0.7976031957390146,88,0.39014647137150466
87,38,4,459,288,0.7978580990629184,89,0.3855421686746988
88,39,4,460,291,0.7882822902796272,90,0.38748335552596536
89,40,4,458,285,0.7671601615074024,91,0.3835800807537012
90,41,4,460,297,0.8137384412153237,92,0.39233817701453105
91,42,4,458,297,0.8066225165562914,93,0.3933774834437086
92,43,4,458,294,0.7952127659574468,94,0.39095744680851063
93,44,4,460,288,0.7740641711229946,95,0.3850267379679144
94,45,4,457,291,0.7834224598930482,96,0.3890374331550802
95,46,4,460,300,0.8184210526315789,97,0.39473684210526316
96,47,4,457,303,0.8065789473684211,98,0.3986842105263158
97,48,4,458,306,0.8232984293193717,99,0.4005235602094241
98,49,4,459,306,0.8248366013071895,100,0.4
99,50,4,458,309,0.8200782268578879,101,0.4028683181225554
100,1,2,112,155,1.5842696629213484,102,0.5805243445692884
101,2,2,116,159,1.6145454545454545,103,0.5781818181818181
102,3,2,121,139,1.4923076923076923,104,0.5346153846153846
103,4,2,118,143,1.5440613026819923,105,0.5478927203065134
104,5,2,120,130,1.488,106,0.52
105,6,2,117,131,1.4919354838709677,107,0.5282258064516129
106,7,2,119,144,1.570342205323194,108,0.5475285171102662
107,8,2,112,156,1.6044776119402986,109,0.582089552238806
108,9,2,119,164,1.6501766784452296,110,0.5795053003533569
109,10,2,120,146,1.5639097744360901,111,0.5488721804511278
110,11,2,113,140,1.5494071146245059,112,0.5533596837944664
111,12,2,114,151,1.5509433962264152,113,0.569811320754717
112,13,2,117,148,1.6037735849056605,114,0.5584905660377358
113,14,2,112,147,1.5173745173745175,115,0.5675675675675675
114,15,2,112,155,1.5842696629213484,116,0.5805243445692884
115,1,4,233,138,4.784366576819407,117,0.3719676549865229
116,2,4,233,138,4.784366576819407,118,0.3719676549865229
117,3,4,233,138,4.784366576819407,119,0.3719676549865229
118,4,4,233,138,4.784366576819407,120,0.3719676549865229
119,5,4,233,138,4.784366576819407,121,0.3719676549865229
120,6,4,233,138,4.784366576819407,122,0.3719676549865229
121,7,4,233,138,4.784366576819407,123,0.3719676549865229
122,8,4,233,138,4.784366576819407,124,0.3719676549865229
123,9,4,233,138,4.784366576819407,125,0.3719676549865229
124,10,4,233,138,4.784366576819407,126,0.3719676549865229
125,1,2,1001,353,1.466765140324963,127,0.26070901033973415
126,2,2,1001,354,1.4974169741697416,128,0.2612546125461255
127,3,2,1000,351,1.4603997039230199,129,0.2598075499629904
128,4,2,1001,354,1.466420664206642,130,0.2612546125461255
129,5,2,1000,351,1.4603997039230199,131,0.2598075499629904
130,6,2,1001,354,1.48929889298893,132,0.2612546125461255
131,7,2,1001,354,1.48929889298893,133,0.2612546125461255
132,8,2,1000,351,1.461139896373057,134,0.2598075499629904
133,9,2,1000,351,1.461139896373057,135,0.2598075499629904
134,10,2,1000,351,1.465581051073279,136,0.2598075499629904
135,11,2,1001,363,1.5168621700879765,137,0.2661290322580645
136,12,2,1000,360,1.4977941176470588,138,0.2647058823529412
137,13,2,1001,363,1.5065982404692082,139,0.2661290322580645
138,14,2,1001,363,1.535190615835777,140,0.2661290322580645
139,15,2,1001,363,1.5080645161290323,141,0.2661290322580645
140,16,2,1001,360,1.5062454077883909,142,0.26451138868479057
141,17,2,1000,360,1.5,143,0.2647058823529412
142,18,2,1000,363,1.499633162142333,144,0.2663242846661775
143,19,2,1001,363,1.502932551319648,145,0.2661290322580645
144,20,2,1001,360,1.4753857457751653,146,0.26451138868479057
145,21,2,999,358,1.4974207811348563,147,0.26381724392041267
146,22,2,999,358,1.4782608695652173,148,0.26381724392041267
147,23,2,1000,358,1.5073637702503682,149,0.26362297496318116
148,24,2,999,358,1.4767870302137067,150,0.26381724392041267
149,25,2,1000,361,1.5099191770756797,151,0.2652461425422483
150,26,2,999,358,1.4789977892409727,152,0.26381724392041267
151,27,2,999,358,1.4834193072955049,153,0.26381724392041267
152,28,2,999,358,1.4974207811348563,154,0.26381724392041267
153,29,2,1000,358,1.5103092783505154,155,0.26362297496318116
154,30,2,999,361,1.527205882352941,156,0.26544117647058824
155,31,2,999,360,1.476085356880059,157,0.26490066225165565
156,32,2,1000,358,1.5029455081001473,158,0.26362297496318116
157,33,2,1000,358,1.472017673048601,159,0.26362297496318116
158,34,2,1000,358,1.4985272459499264,160,0.26362297496318116
159,35,2,1000,358,1.5022091310751104,161,0.26362297496318116
160,36,2,1000,358,1.496318114874816,162,0.26362297496318116
161,37,2,1000,358,1.5007363770250368,163,0.26362297496318116
162,38,2,1000,358,1.4830633284241532,164,0.26362297496318116
163,39,2,1000,358,1.4845360824742269,165,0.26362297496318116
164,40,2,1000,358,1.4933726067746687,166,0.26362297496318116
165,41,2,999,348,1.5107646622123236,167,0.2583518930957684
166,42,2,999,355,1.4911373707533235,168,0.2621861152141802
167,43,2,999,355,1.5228951255539143,169,0.2621861152141802
168,44,2,998,352,1.4896296296296296,170,0.2607407407407407
169,45,2,999,352,1.4892672094744634,171,0.26054774241302736
170,46,2,999,355,1.5,172,0.2621861152141802
171,47,2,999,355,1.5,173,0.2621861152141802
172,48,2,999,355,1.5228951255539143,174,0.2621861152141802
173,49,2,999,355,1.5228951255539143,175,0.2621861152141802
174,50,2,999,355,1.517725258493353,176,0.2621861152141802
175,1,7,86,109,2.3333333333333335,177,0.558974358974359
176,2,7,88,107,2.3384615384615386,178,0.5487179487179488
177,3,7,87,108,2.317948717948718,179,0.5538461538461539
178,4,7,88,107,2.312820512820513,180,0.5487179487179488
179,5,7,88,107,2.312820512820513,181,0.5487179487179488
180,6,7,85,110,2.348717948717949,182,0.5641025641025641
181,7,7,88,107,2.3384615384615386,183,0.5487179487179488
182,8,7,88,107,2.3384615384615386,184,0.5487179487179488
183,9,7,88,107,2.3282051282051284,185,0.5487179487179488
184,10,7,87,108,2.3282051282051284,186,0.5538461538461539
185,1,2,434,140,7.036585365853658,187,0.24390243902439024
186,2,2,434,140,7.036585365853658,188,0.24390243902439024
187,3,2,434,140,7.036585365853658,189,0.24390243902439024
