,RNTI,Frame,Slot,Grant type,RBG,Start Sym,Num Sym,MCS,NumLayers,HARQ ID,NDI Flag,RV,Tx Type,FdbkOffst,CQIs
0,1,0,1,DL,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
1,2,0,1,DL,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
2,3,0,1,DL,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
3,4,0,1,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
4,5,0,1,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
5,6,0,1,DL,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[2, 8, 4, 6, 2, 7, 3, 7, 7, 8, 5, 1, 3, 10, 2, 9, 6, 10, 1, 5]"
6,7,0,1,DL,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[2, 10, 1, 8, 9, 9, 1, 4, 3, 9, 5, 10, 2, 3, 2, 2, 9, 6, 6, 2]"
7,8,0,1,DL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[9, 7, 4, 6, 5, 1, 3, 2, 2, 3, 5, 1, 10, 10, 5, 5, 4, 10, 4, 2]"
8,9,0,1,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,7,5,1,0,1,0,newTx,2,"[8, 4, 3, 5, 1, 2, 10, 10, 6, 1, 3, 4, 9, 1, 1, 2, 7, 8, 7, 5]"
9,10,0,1,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,7,5,1,0,1,0,newTx,2,"[6, 3, 8, 2, 7, 2, 4, 7, 8, 1, 10, 8, 5, 5, 5, 4, 6, 6, 9, 8]"
10,11,0,1,DL,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[7, 4, 9, 6, 4, 10, 9, 6, 7, 6, 3, 4, 5, 3, 9, 2, 3, 2, 3, 5]"
11,12,0,1,DL,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[4, 10, 5, 2, 10, 10, 5, 2, 3, 5, 6, 3, 7, 8, 3, 2, 3, 4, 5, 6]"
12,13,0,1,DL,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[1, 3, 9, 1, 10, 8, 5, 6, 3, 5, 10, 6, 6, 3, 5, 7, 7, 4, 4, 10]"
13,14,0,1,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[1, 9, 10, 8, 1, 3, 4, 7, 2, 8, 2, 7, 5, 8, 8, 10, 9, 4, 7, 2]"
14,15,0,1,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[1, 8, 6, 5, 10, 7, 7, 9, 9, 6, 2, 3, 9, 1, 5, 2, 10, 8, 6, 5]"
15,16,0,1,DL,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[1, 7, 1, 1, 6, 1, 9, 9, 8, 2, 7, 6, 10, 7, 9, 5, 5, 9, 1, 2]"
16,17,0,1,DL,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[2, 4, 9, 9, 1, 4, 6, 5, 7, 7, 3, 5, 1, 10, 2, 2, 4, 2, 5, 4]"
17,18,0,1,DL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",7,7,5,1,0,1,0,newTx,2,"[10, 10, 1, 8, 3, 5, 6, 10, 5, 10, 4, 8, 7, 6, 7, 7, 2, 2, 10, 2]"
18,19,0,1,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",7,7,5,1,0,1,0,newTx,2,"[1, 6, 9, 7, 2, 4, 5, 10, 2, 9, 7, 4, 2, 5, 5, 2, 6, 3, 4, 6]"
19,20,0,1,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",7,7,5,1,0,1,0,newTx,2,"[3, 3, 7, 3, 9, 10, 8, 4, 6, 2, 10, 9, 9, 3, 6, 1, 5, 4, 2, 2]"
20,21,0,2,DL,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[5, 1, 6, 5, 7, 7, 7, 1, 1, 4, 6, 7, 5, 9, 8, 10, 6, 4, 2, 7]"
21,22,0,2,DL,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[8, 5, 1, 3, 2, 3, 5, 6, 5, 9, 6, 10, 7, 10, 3, 7, 3, 7, 7, 1]"
22,23,0,2,DL,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[3, 3, 7, 9, 4, 8, 7, 1, 7, 4, 10, 1, 5, 5, 5, 8, 4, 8, 5, 1]"
23,24,0,2,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[2, 8, 5, 2, 4, 7, 2, 8, 3, 10, 3, 8, 2, 3, 1, 6, 7, 6, 5, 7]"
24,25,0,2,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[7, 7, 7, 10, 3, 8, 3, 2, 7, 5, 5, 7, 8, 4, 7, 5, 9, 9, 3, 7]"
25,26,0,2,DL,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[6, 6, 9, 3, 4, 2, 10, 7, 5, 7, 6, 7, 6, 8, 6, 10, 3, 2, 2, 1]"
26,27,0,2,DL,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[5, 5, 4, 8, 7, 8, 10, 10, 2, 2, 7, 1, 6, 6, 9, 5, 4, 7, 8, 6]"
27,28,0,2,DL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[4, 2, 6, 3, 1, 8, 3, 5, 7, 4, 8, 4, 7, 8, 5, 1, 4, 5, 3, 2]"
28,29,0,2,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,7,5,1,0,1,0,newTx,2,"[9, 5, 9, 4, 8, 4, 9, 8, 4, 3, 8, 10, 4, 7, 5, 9, 8, 2, 9, 10]"
29,30,0,2,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,7,5,1,0,1,0,newTx,2,"[6, 9, 6, 2, 2, 5, 8, 9, 8, 4, 6, 1, 2, 2, 7, 5, 2, 5, 2, 1]"
30,31,0,5,DL,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[9, 6, 10, 7, 6, 9, 9, 10, 1, 9, 7, 10, 6, 5, 9, 3, 5, 10, 6, 9]"
31,32,0,5,DL,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[8, 6, 3, 7, 1, 7, 7, 8, 9, 10, 8, 6, 10, 6, 1, 2, 9, 5, 9, 3]"
32,33,0,5,DL,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[6, 7, 1, 7, 4, 1, 5, 2, 2, 3, 2, 2, 1, 7, 3, 6, 7, 5, 6, 5]"
33,34,0,5,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[2, 5, 9, 9, 3, 3, 6, 7, 5, 3, 10, 1, 2, 2, 2, 7, 6, 1, 10, 8]"
34,35,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[8, 1, 9, 10, 10, 9, 8, 6, 2, 4, 2, 1, 10, 4, 3, 4, 5, 7, 1, 9]"
35,36,0,5,DL,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[6, 9, 4, 5, 1, 2, 7, 4, 9, 2, 10, 6, 8, 10, 3, 5, 5, 8, 9, 2]"
36,37,0,5,DL,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[2, 4, 1, 6, 4, 2, 3, 10, 7, 5, 10, 2, 8, 8, 6, 2, 6, 3, 2, 3]"
37,38,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,7,5,1,0,1,0,newTx,2,"[9, 1, 3, 1, 5, 1, 9, 2, 1, 4, 5, 2, 10, 4, 3, 1, 3, 1, 6, 8]"
38,39,0,5,DL,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,7,5,1,0,1,0,newTx,2,"[7, 1, 1, 8, 10, 6, 2, 9, 4, 3, 8, 1, 1, 7, 7, 6, 8, 8, 8, 3]"
