RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,466,316,150,5,422,331,91,5
2,467,314,153,5,424,334,90,5
3,462,313,149,5,415,334,81,5
4,467,313,154,5,411,333,78,5
5,469,315,154,5,415,335,80,5
6,466,315,151,5,407,332,75,5
7,464,313,151,5,405,331,74,5
8,465,317,148,5,420,331,89,5
9,466,318,148,5,423,331,92,5
10,460,321,139,5,415,332,83,5
11,464,318,146,5,414,331,83,5
12,464,324,140,5,411,330,81,5
13,459,316,143,5,416,332,84,5
14,463,321,142,5,414,330,84,5
15,463,318,145,5,428,328,100,5
