RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,PulseWidth,PulseWidthSlotIdx,TTI
1,120,71,49,5,95,62,33,5,434,2622,2
2,128,72,56,5,89,56,33,5,434,2622,2
3,125,74,51,5,85,54,31,5,434,2622,2
4,132,73,59,5,102,66,36,5,434,2622,2
5,131,69,62,5,89,59,30,5,434,2622,2
6,134,74,60,5,85,55,30,5,434,2622,2
7,134,74,60,5,87,58,29,5,434,2622,2
8,133,75,58,5,94,62,32,5,434,2622,2
9,129,75,54,5,97,64,33,5,434,2622,2
10,127,74,53,5,84,56,28,5,434,2622,2
1,164,128,36,5,174,144,30,5,190,2937,2
2,162,130,32,5,178,148,30,5,190,2937,2
3,170,126,44,5,168,135,33,5,190,2937,2
4,169,126,43,5,177,144,33,5,190,2937,2
5,167,128,39,5,146,116,30,5,190,2937,2
6,171,127,44,5,141,111,30,5,190,2937,2
7,168,123,45,5,147,119,28,5,190,2937,2
8,167,128,39,5,140,115,25,5,190,2937,2
9,171,129,42,5,129,111,18,5,190,2937,2
10,169,123,46,5,178,147,31,5,190,2937,2
1,120,58,62,5,101,61,40,5,483,1665,2
2,123,59,64,5,92,60,32,5,483,1665,2
3,122,60,62,5,98,61,37,5,483,1665,2
4,123,60,63,5,91,60,31,5,483,1665,2
5,119,58,61,5,69,47,22,5,483,1665,2
6,123,58,65,5,93,61,32,5,483,1665,2
7,108,61,47,5,99,65,34,5,483,1665,2
8,115,60,55,5,84,57,27,5,483,1665,2
9,115,59,56,5,90,63,27,5,483,1665,2
10,115,57,58,5,94,61,33,5,483,1665,2
1,196,161,35,5,212,191,21,5,7,722,2
2,196,162,34,5,215,188,27,5,7,722,2
3,193,162,31,5,211,190,21,5,7,722,2
4,195,162,33,5,214,192,22,5,7,722,2
5,196,166,30,5,216,190,26,5,7,722,2
6,203,166,37,5,210,187,23,5,7,722,2
7,196,162,34,5,210,191,19,5,7,722,2
8,197,168,29,5,211,190,21,5,7,722,2
9,196,165,31,5,210,189,21,5,7,722,2
10,194,163,31,5,209,188,21,5,7,722,2
1,137,92,45,5,91,70,21,5,297,2352,2
2,141,88,53,5,98,76,22,5,297,2352,2
3,139,90,49,5,139,105,34,5,297,2352,2
4,143,90,53,5,111,82,29,5,297,2352,2
5,137,92,45,5,131,95,36,5,297,2352,2
6,150,90,60,5,120,88,32,5,297,2352,2
7,147,90,57,5,117,86,31,5,297,2352,2
8,144,89,55,5,87,63,24,5,297,2352,2
9,142,91,51,5,112,80,32,5,297,2352,2
10,141,92,49,5,135,97,38,5,297,2352,2
1,196,161,35,5,207,190,17,5,122,3471,2
2,196,164,32,5,215,194,21,5,122,3471,2
3,194,160,34,5,208,192,16,5,122,3471,2
4,197,165,32,5,211,191,20,5,122,3471,2
5,195,164,31,5,209,189,20,5,122,3471,2
6,197,161,36,5,210,190,20,5,122,3471,2
7,196,164,32,5,207,188,19,5,122,3471,2
8,195,162,33,5,212,189,23,5,122,3471,2
9,194,158,36,5,207,187,20,5,122,3471,2
10,194,164,30,5,204,190,14,5,122,3471,2
1,169,124,45,5,126,104,22,5,185,1165,2
