RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,PulseWidth,PulseWidthSlotIdx,TTI
1,91,79,12,5,89,74,15,5,230,312,4
2,120,96,24,5,93,77,16,5,230,312,4
3,121,104,17,5,93,75,18,5,230,312,4
4,130,107,23,5,101,78,23,5,230,312,4
5,117,92,25,5,93,73,20,5,230,312,4
6,110,92,18,5,89,75,14,5,230,312,4
7,90,72,18,5,87,74,13,5,230,312,4
8,89,72,17,5,93,77,16,5,230,312,4
9,104,85,19,5,88,77,11,5,230,312,4
10,110,93,17,5,92,76,16,5,230,312,4
1,98,79,19,5,90,75,15,5,15,2297,4
2,101,85,16,5,94,78,16,5,15,2297,4
3,119,100,19,5,92,76,16,5,15,2297,4
4,119,98,21,5,96,77,19,5,15,2297,4
5,121,96,25,5,92,77,15,5,15,2297,4
6,113,95,18,5,89,74,15,5,15,2297,4
7,89,73,16,5,89,75,14,5,15,2297,4
8,105,82,23,5,97,75,22,5,15,2297,4
9,99,86,13,5,94,78,16,5,15,2297,4
10,114,94,20,5,91,77,14,5,15,2297,4
1,91,79,12,5,89,74,15,5,123,3727,4
2,120,96,24,5,93,77,16,5,123,3727,4
3,121,104,17,5,93,75,18,5,123,3727,4
4,130,107,23,5,101,78,23,5,123,3727,4
5,117,92,25,5,93,73,20,5,123,3727,4
6,110,92,18,5,89,75,14,5,123,3727,4
7,90,72,18,5,87,74,13,5,123,3727,4
8,89,72,17,5,93,77,16,5,123,3727,4
9,104,85,19,5,88,77,11,5,123,3727,4
10,110,93,17,5,92,76,16,5,123,3727,4
1,98,79,19,5,90,75,15,5,235,2108,4
2,101,85,16,5,94,78,16,5,235,2108,4
3,119,100,19,5,92,76,16,5,235,2108,4
4,119,98,21,5,96,77,19,5,235,2108,4
5,121,96,25,5,92,77,15,5,235,2108,4
6,113,95,18,5,89,74,15,5,235,2108,4
7,89,73,16,5,89,75,14,5,235,2108,4
8,105,82,23,5,97,75,22,5,235,2108,4
9,99,86,13,5,94,78,16,5,235,2108,4
10,114,94,20,5,91,77,14,5,235,2108,4
1,98,79,19,5,90,75,15,5,213,2657,4
2,101,85,16,5,94,78,16,5,213,2657,4
3,119,100,19,5,92,76,16,5,213,2657,4
4,119,98,21,5,96,77,19,5,213,2657,4
5,121,96,25,5,92,77,15,5,213,2657,4
6,113,95,18,5,89,74,15,5,213,2657,4
7,89,73,16,5,89,75,14,5,213,2657,4
8,105,82,23,5,97,75,22,5,213,2657,4
