RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL ,DL_throughput (bits) ,DL_goodput (bits) ,UL_throughput (bits) ,UL_goodput (bits) ,TTI ,prf  ,FreqOffset ,PulseWidth            ,BW      ,pulseSlotId ,slotStartIdx ,pulseIdxOffset_ms
   1 ,        81 ,      49 ,        32 ,      5.0 ,        80 ,      62 ,        18 ,      5.0 ,                1944 ,             1176 ,                2560 ,             1984 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   2 ,        81 ,      48 ,        33 ,      5.0 ,        80 ,      60 ,        20 ,      5.0 ,                1944 ,             1152 ,                2560 ,             1920 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   3 ,        81 ,      51 ,        30 ,      5.0 ,        80 ,      62 ,        18 ,      5.0 ,                1944 ,             1224 ,                2560 ,             1984 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   4 ,        81 ,      52 ,        29 ,      5.0 ,        80 ,      62 ,        18 ,      5.0 ,                1944 ,             1248 ,                2560 ,             1984 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   5 ,        81 ,      51 ,        30 ,      5.0 ,        80 ,      60 ,        20 ,      5.0 ,                1944 ,             1224 ,                2560 ,             1920 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   6 ,        81 ,      53 ,        28 ,      5.0 ,        80 ,      59 ,        21 ,      5.0 ,                1944 ,             1272 ,                2560 ,             1888 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   7 ,        81 ,      55 ,        26 ,      5.0 ,        80 ,      62 ,        18 ,      5.0 ,                1944 ,             1320 ,                2560 ,             1984 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   8 ,        81 ,      57 ,        24 ,      5.0 ,        80 ,      62 ,        18 ,      5.0 ,                1944 ,             1368 ,                2560 ,             1984 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
   9 ,        81 ,      59 ,        22 ,      5.0 ,        80 ,      58 ,        22 ,      5.0 ,                1944 ,             1416 ,                2560 ,             1856 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
  10 ,        81 ,      55 ,        26 ,      5.0 ,        80 ,      57 ,        23 ,      5.0 ,                1944 ,             1320 ,                2560 ,             1824 ,  2 ,1000 ,         0 ,7.599999999999999e-05 ,5000000 ,          1 ,        2069 ,0.0002694010416666667
