RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,prf,FreqOffset,PulseWidth,BW,slotStartIdx,pulseIdxOffset_ms
1,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
2,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
3,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
4,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
5,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
6,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
7,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
8,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
9,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
10,81,69,12,5.0,80,72,8,5.0,1944,1656,2560,2304,2,1000,0,6.9e-05,5000000,3312,0.00043125000000000005
