,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,160,127,33,19.97,92,65,27,20.66,20288,15648,20760,16032,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,405760.0,312960.0,415200.0,320640.0,0.20625,0.29347826086956524
1,2,158,132,26,18.96,83,63,20,19.7,19992,16688,18680,15272,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,399840.0,333760.0,373600.0,305440.0,0.16455696202531644,0.24096385542168675
2,3,160,129,31,19.58,84,63,21,20.35,22768,18424,20296,16256,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,455360.0,368480.0,405920.0,325120.0,0.19375,0.25
3,4,160,127,33,19.68,86,63,23,20.14,20736,16360,19760,16064,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,414720.0,327200.0,395200.0,321280.0,0.20625,0.26744186046511625
4,5,158,129,29,19.8,86,63,23,20.43,24360,18256,19960,16088,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,487200.0,365120.0,399200.0,321760.0,0.18354430379746836,0.26744186046511625
5,6,160,130,30,19.06,82,64,18,20.28,19408,15656,20048,16448,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,388160.0,313120.0,400960.0,328960.0,0.1875,0.21951219512195122
6,7,159,124,35,19.92,88,61,27,20.74,20248,15440,21144,15320,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,404960.0,308800.0,422880.0,306400.0,0.22012578616352202,0.3068181818181818
7,8,159,127,32,19.53,82,63,19,20.56,20880,17096,20760,16264,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,417600.0,341920.0,415200.0,325280.0,0.20125786163522014,0.23170731707317074
8,9,159,125,34,19.61,86,61,25,20.99,19032,15080,21704,15552,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,380640.0,301600.0,434080.0,311040.0,0.2138364779874214,0.29069767441860467
9,10,159,124,35,19.58,83,62,21,20.93,19328,14848,21256,16168,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,386560.0,296960.0,425120.0,323360.0,0.22012578616352202,0.25301204819277107
10,11,160,122,38,19.92,92,65,27,21.41,19656,15080,23912,16744,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,393120.0,301600.0,478240.0,334880.0,0.2375,0.29347826086956524
11,12,160,123,37,20.08,89,63,26,20.84,19704,15168,22320,16296,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,394080.0,303360.0,446400.0,325920.0,0.23125,0.29213483146067415
12,13,159,127,32,19.85,92,62,30,21.58,19912,16144,24048,15856,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,398240.0,322880.0,480960.0,317120.0,0.20125786163522014,0.32608695652173914
13,14,158,129,29,19.84,89,62,27,21.42,20896,17440,22952,15496,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,417920.0,348800.0,459040.0,309920.0,0.18354430379746836,0.30337078651685395
14,15,159,132,27,19.49,85,60,25,20.98,23088,19480,21864,14856,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,461760.0,389600.0,437280.0,297120.0,0.16981132075471697,0.29411764705882354
15,16,160,127,33,20.22,90,62,28,22.0,23664,19176,24240,16392,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,473280.0,383520.0,484800.0,327840.0,0.20625,0.3111111111111111
16,17,160,127,33,19.65,90,61,29,20.93,20240,15712,22256,15560,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,404800.0,314240.0,445120.0,311200.0,0.20625,0.32222222222222224
17,18,157,129,28,19.95,91,61,30,21.22,21408,17320,22472,15496,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,428160.0,346400.0,449440.0,309920.0,0.17834394904458598,0.32967032967032966
18,19,160,129,31,20.22,86,63,23,20.91,21920,17360,20944,16168,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,438400.0,347200.0,418880.0,323360.0,0.19375,0.26744186046511625
19,20,158,129,29,20.04,85,59,26,21.28,20656,16520,20752,15272,2,25000000,51,5,241220-031753,1280,25000000,9.7e-05,5000000,413120.0,330400.0,415040.0,305440.0,0.18354430379746836,0.3058823529411765
20,1,51,17,34,22.73,11,4,7,23.45,142112,43360,41504,13712,14,5000000,51,5,241220-070535,2560,5000000,9.9e-06,10000000,2842240.0,867200.0,830080.0,274240.0,0.6666666666666666,0.6363636363636364
21,2,47,17,30,23.66,13,4,9,24.62,135432,45088,42048,13968,14,5000000,51,5,241220-070535,2560,5000000,9.9e-06,10000000,2708640.0,901760.0,840960.0,279360.0,0.6382978723404256,0.6923076923076923
