,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,89,38,51,24.53,22,13,9,26.55,146928,59136,45456,26088,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2938560.0,1182720.0,909120.0,521760.0,0.5730337078651685,0.4090909090909091
1,2,94,42,52,24.06,24,12,12,26.25,144008,64584,47616,23808,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2880160.0,1291680.0,952320.0,476160.0,0.5531914893617021,0.5
2,3,87,42,45,24.25,21,12,9,26.43,137144,65000,42824,23456,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2742880.0,1300000.0,856480.0,469120.0,0.5172413793103449,0.42857142857142855
3,4,92,42,50,24.2,21,12,9,25.95,147016,63776,41856,22488,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2940320.0,1275520.0,837120.0,449760.0,0.5434782608695652,0.42857142857142855
4,5,93,41,52,23.92,21,12,9,25.86,147440,61640,41184,21816,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2948800.0,1232800.0,823680.0,436320.0,0.5591397849462365,0.42857142857142855
5,6,92,41,51,24.41,20,11,9,26.5,147840,61632,36096,20184,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2956800.0,1232640.0,721920.0,403680.0,0.5543478260869565,0.45
6,7,92,41,51,24.43,15,12,3,26.87,140712,59848,29304,22848,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2814240.0,1196960.0,586080.0,456960.0,0.5543478260869565,0.2
7,8,87,40,47,24.63,21,12,9,26.71,140464,59632,41672,24128,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2809280.0,1192640.0,833440.0,482560.0,0.5402298850574713,0.42857142857142855
8,9,90,39,51,24.29,20,11,9,26.3,143784,58952,40960,21592,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2875680.0,1179040.0,819200.0,431840.0,0.5666666666666667,0.45
9,10,90,41,49,24.62,21,12,9,26.81,139520,60552,39496,21760,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2790400.0,1211040.0,789920.0,435200.0,0.5444444444444444,0.42857142857142855
10,11,88,39,49,23.82,19,12,7,25.74,128880,54832,36344,22592,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2577600.0,1096640.0,726880.0,451840.0,0.5568181818181818,0.3684210526315789
11,12,95,41,54,24.14,22,12,10,25.82,139936,58752,40720,22848,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2798720.0,1175040.0,814400.0,456960.0,0.5684210526315789,0.45454545454545453
12,13,89,41,48,23.99,16,12,4,26.38,130016,59976,31032,22968,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2600320.0,1199520.0,620640.0,459360.0,0.5393258426966292,0.25
13,14,85,41,44,24.27,22,11,11,26.27,134928,63200,45520,23064,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2698560.0,1264000.0,910400.0,461280.0,0.5176470588235295,0.5
14,15,89,40,49,24.12,22,13,9,26.27,133608,60512,46224,26856,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2672160.0,1210240.0,924480.0,537120.0,0.550561797752809,0.4090909090909091
15,16,91,42,49,24.1,21,12,9,25.95,150664,67040,43048,24448,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,3013280.0,1340800.0,860960.0,488960.0,0.5384615384615384,0.42857142857142855
16,17,82,38,44,24.39,19,10,9,26.47,126256,58712,39800,20432,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2525120.0,1174240.0,796000.0,408640.0,0.5365853658536586,0.47368421052631576
17,18,89,41,48,24.38,20,11,9,26.45,139472,62944,40672,21688,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2789440.0,1258880.0,813440.0,433760.0,0.5393258426966292,0.45
18,19,92,39,53,23.74,22,11,11,25.91,135840,57832,44048,21144,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2716800.0,1156640.0,880960.0,422880.0,0.5760869565217391,0.5
19,20,91,41,50,24.76,27,10,17,26.56,146528,64328,51992,19760,7,5000000,51,5,241227-101207_Run_15_Idx_72480,2000,5000000,5e-05,20000000,2930560.0,1286560.0,1039840.0,395200.0,0.5494505494505495,0.6296296296296297
20,1,160,108,52,24.54,89,56,33,26.53,26600,18736,30096,19104,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,532000.0,374720.0,601920.0,382080.0,0.325,0.3707865168539326
21,2,160,97,63,24.66,94,55,39,26.32,24880,15672,31328,18464,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,497600.0,313440.0,626560.0,369280.0,0.39375,0.4148936170212766
22,3,160,101,59,24.12,89,59,30,25.9,22880,14792,28976,19424,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,457600.0,295840.0,579520.0,388480.0,0.36875,0.33707865168539325
23,4,160,104,56,24.52,84,57,27,26.57,23912,15784,28304,19456,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,478240.0,315680.0,566080.0,389120.0,0.35,0.32142857142857145
24,5,160,108,52,24.59,84,59,25,26.29,25296,17264,28544,20064,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,505920.0,345280.0,570880.0,401280.0,0.325,0.2976190476190476
25,6,160,103,57,24.26,79,56,23,26.09,23960,15688,26672,18992,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,479200.0,313760.0,533440.0,379840.0,0.35625,0.2911392405063291
26,7,160,103,57,23.6,83,57,26,25.53,22680,14784,28048,19264,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,453600.0,295680.0,560960.0,385280.0,0.35625,0.3132530120481928
27,8,160,112,48,24.59,90,56,34,26.53,27760,20416,30480,18960,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,555200.0,408320.0,609600.0,379200.0,0.3,0.37777777777777777
28,9,160,115,45,23.98,83,54,29,25.67,25976,19664,27584,17920,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,519520.0,393280.0,551680.0,358400.0,0.28125,0.3493975903614458
29,10,160,106,54,24.28,88,55,33,26.07,24560,16584,28288,18160,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,491200.0,331680.0,565760.0,363200.0,0.3375,0.375
30,11,160,97,63,24.64,84,55,29,26.42,24240,14704,28560,18832,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,484800.0,294080.0,571200.0,376640.0,0.39375,0.34523809523809523
31,12,160,101,59,24.46,85,56,29,26.36,23880,15008,28304,18848,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,477600.0,300160.0,566080.0,376960.0,0.36875,0.3411764705882353
32,13,160,104,56,24.27,79,55,24,26.27,24368,15776,26544,18704,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,487360.0,315520.0,530880.0,374080.0,0.35,0.3037974683544304
33,14,160,107,53,24.58,78,55,23,26.56,25232,17624,26944,19088,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,504640.0,352480.0,538880.0,381760.0,0.33125,0.2948717948717949
34,15,160,101,59,24.14,84,57,27,26.12,24728,15424,27584,19056,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,494560.0,308480.0,551680.0,381120.0,0.36875,0.32142857142857145
35,16,160,107,53,24.48,84,56,28,26.38,25752,17664,27616,18544,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,515040.0,353280.0,552320.0,370880.0,0.33125,0.3333333333333333
36,17,160,107,53,24.24,82,55,27,26.12,25168,17176,26288,17968,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,503360.0,343520.0,525760.0,359360.0,0.33125,0.32926829268292684
37,18,160,115,45,24.2,90,54,36,26.33,29176,22056,30560,18368,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,583520.0,441120.0,611200.0,367360.0,0.28125,0.4
38,19,160,109,51,24.25,87,54,33,26.17,24424,16648,28816,18192,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,488480.0,332960.0,576320.0,363840.0,0.31875,0.3793103448275862
39,20,160,105,55,24.55,90,57,33,26.49,24320,15944,30032,19200,2,15000000,51,5,241227-101534_Run_21_Idx_42896,2000,15000000,5e-05,20000000,486400.0,318880.0,600640.0,384000.0,0.34375,0.36666666666666664
40,1,160,115,45,24.07,81,44,37,25.77,24488,17456,27408,14752,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,5e-05,20000000,489760.0,349120.0,548160.0,295040.0,0.28125,0.4567901234567901
41,2,160,110,50,24.25,90,44,46,26.09,24720,16768,29520,14640,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,5e-05,20000000,494400.0,335360.0,590400.0,292800.0,0.3125,0.5111111111111111
42,3,160,110,50,24.09,83,43,40,25.84,24040,16240,26688,13936,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,5e-05,20000000,480800.0,324800.0,533760.0,278720.0,0.3125,0.4819277108433735
43,4,160,109,51,24.31,81,43,38,26.09,24352,16464,26656,14256,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,5e-05,20000000,487040.0,329280.0,533120.0,285120.0,0.31875,0.4691358024691358
44,5,160,113,47,24.11,77,43,34,26.17,28312,21280,25760,14448,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,5e-05,20000000,566240.0,425600.0,515200.0,288960.0,0.29375,0.44155844155844154
