RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,115,45,24.07,81,44,37,25.77,24488,17456,27408,14752,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
2,160,110,50,24.25,90,44,46,26.09,24720,16768,29520,14640,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
3,160,110,50,24.09,83,43,40,25.84,24040,16240,26688,13936,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
4,160,109,51,24.31,81,43,38,26.09,24352,16464,26656,14256,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
5,160,113,47,24.11,77,43,34,26.17,28312,21280,25760,14448,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
6,160,110,50,24.88,76,42,34,26.82,24560,16960,25664,14336,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
7,160,104,56,24.64,83,45,38,26.69,24112,15504,27648,15056,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
8,160,110,50,24.25,74,46,28,26.16,23864,16896,24736,15472,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
9,160,110,50,24.45,79,46,33,26.32,23912,16776,25936,15280,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
10,160,111,49,24.46,80,44,36,26.35,26224,18952,26336,14672,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
11,160,109,51,24.29,85,44,41,26.25,23608,16224,27344,14432,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
12,160,108,52,24.42,80,44,36,26.2,23824,16336,27152,15024,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
13,160,108,52,24.45,81,45,36,26.31,23920,16568,27424,15264,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
14,160,111,49,24.11,85,45,40,25.85,24304,17248,28144,15040,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
15,160,111,49,24.15,80,46,34,26.08,24744,17192,27168,15744,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
16,160,112,48,23.98,82,46,36,25.85,26408,18968,27056,15264,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
17,160,108,52,24.47,84,43,41,26.36,24480,16624,27568,14272,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
18,160,112,48,24.36,81,42,39,26.16,24024,16880,27472,14224,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
19,160,114,46,24.49,82,44,38,26.56,29176,22128,27760,14880,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
20,160,113,47,24.05,76,43,33,25.82,24240,17136,25824,14448,2,1000000,51,5,241227-101056_Run_5_Idx_5735,2000,1000000,4.9999999999999996e-05,20000000,1,0
