    ,RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL ,DL_throughput_bits ,DL_goodput_bits ,UL_throughput_bits ,UL_goodput_bits ,TTI ,PulseBWoffset ,numRBs ,NumFrames ,FolderName                    ,prf  ,FreqOffset ,PulseWidth ,BW       ,DL_throughput_bps ,DL_goodput_bps ,UL_throughput_bps ,UL_goodput_bps ,DLReTxPrcnt          ,ULReTxPrcnt
  0 ,   1 ,       133 ,     101 ,        32 ,     1.06 ,        50 ,      43 ,         7 ,     0.1  ,              7960 ,           5424 ,              1512 ,           1304 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         159200.0 ,      108480.0 ,          30240.0 ,       26080.0 ,0.24060150375939848  ,0.14
  1 ,   2 ,       135 ,     104 ,        31 ,     1.02 ,        49 ,      44 ,         5 ,     0.04 ,              7816 ,           5256 ,              1504 ,           1328 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         156320.0 ,      105120.0 ,          30080.0 ,       26560.0 ,0.22962962962962963  ,0.10204081632653061
  2 ,   3 ,       134 ,     100 ,        34 ,     0.86 ,        51 ,      43 ,         8 ,     0.02 ,              6728 ,           4880 ,              1528 ,           1280 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         134560.0 ,       97600.0 ,          30560.0 ,       25600.0 ,0.2537313432835821   ,0.1568627450980392
  3 ,   4 ,       136 ,     101 ,        35 ,     1.15 ,        52 ,      43 ,         9 ,     0.06 ,              8520 ,           4912 ,              1568 ,           1280 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         170400.0 ,       98240.0 ,          31360.0 ,       25600.0 ,0.25735294117647056  ,0.17307692307692307
  4 ,   5 ,       135 ,      99 ,        36 ,     0.91 ,        53 ,      42 ,        11 ,     0.11 ,              7296 ,           4872 ,              1592 ,           1248 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         145920.0 ,       97440.0 ,          31840.0 ,       24960.0 ,0.26666666666666666  ,0.20754716981132076
  5 ,   6 ,       134 ,      98 ,        36 ,     0.92 ,        54 ,      43 ,        11 ,     0.11 ,              6720 ,           4800 ,              1704 ,           1320 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         134400.0 ,       96000.0 ,          34080.0 ,       26400.0 ,0.26865671641791045  ,0.2037037037037037
  6 ,   7 ,       132 ,     101 ,        31 ,     1.05 ,        54 ,      43 ,        11 ,     0.06 ,              7488 ,           5336 ,              1688 ,           1304 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         149760.0 ,      106720.0 ,          33760.0 ,       26080.0 ,0.23484848484848486  ,0.2037037037037037
  7 ,   8 ,       132 ,     102 ,        30 ,     0.96 ,        52 ,      43 ,         9 ,     0.06 ,              7112 ,           4824 ,              1608 ,           1320 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         142240.0 ,       96480.0 ,          32160.0 ,       26400.0 ,0.22727272727272727  ,0.17307692307692307
  8 ,   9 ,       131 ,     101 ,        30 ,     0.98 ,        53 ,      42 ,        11 ,     0.06 ,              7360 ,           4872 ,              1584 ,           1240 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         147200.0 ,       97440.0 ,          31680.0 ,       24800.0 ,0.22900763358778625  ,0.20754716981132076
  9 ,  10 ,       132 ,      99 ,        33 ,     1.07 ,        50 ,      43 ,         7 ,     0.06 ,              7768 ,           4888 ,              1504 ,           1264 ,  4 ,      1000000 ,    51 ,        5 ,241228-123737_Run_2_Idx_35444 ,2000 ,   1000000 ,5e-05      ,18000000 ,         155360.0 ,       97760.0 ,          30080.0 ,       25280.0 ,0.25                 ,0.14
