RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,140,124,16,1.06,53,42,11,0.02,8208,6088,1592,1240,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
2,138,123,15,0.99,51,43,8,0.06,7360,5760,1528,1272,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
3,137,122,15,0.94,54,42,12,0.17,6632,5464,1640,1264,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
4,137,123,14,1.07,51,41,10,0.39,7336,5536,1624,1288,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
5,138,127,11,0.92,49,42,7,0.22,7320,5712,1664,1384,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
6,136,125,11,0.93,56,42,14,0.21,7040,5584,1816,1376,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
7,138,122,16,1.04,53,42,11,0.11,8448,6120,1664,1312,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
8,133,123,10,0.97,50,42,8,0.08,6688,5472,1496,1240,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
9,142,122,20,0.94,53,43,10,0.0,7000,5344,1560,1256,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
10,137,123,14,1.07,51,43,8,0.06,7000,5512,1544,1288,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
11,138,123,15,0.89,53,42,11,0.34,6784,5592,1736,1368,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
12,136,120,16,1.35,49,42,7,0.27,7472,5728,1656,1360,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
13,141,122,19,0.98,51,42,9,0.14,8896,6104,1632,1288,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
14,138,121,17,1.56,53,42,11,0.08,9968,6752,1568,1232,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
15,136,123,13,0.75,52,42,10,0.0,5720,5040,1560,1248,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
16,137,120,17,1.02,52,42,10,0.02,7464,5760,1560,1240,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
17,141,122,19,0.87,53,42,11,0.11,7312,5656,1680,1280,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
18,139,126,13,0.75,50,42,8,0.24,6616,5272,1784,1432,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
19,139,122,17,1.17,50,41,9,0.22,9408,6592,1592,1312,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
20,142,126,16,1.15,53,42,11,0.06,8088,6184,1592,1240,4,9000000,51,5,241228-132942_Run_2_Idx_37594,2000,9000000,4.9999999999999996e-05,2000000,1,0
