,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,160,144,16,21.66,89,74,15,23.01,21976,19864,26608,21680,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,439520.0,397280.0,532160.0,433600.0,0.1,0.16853932584269662
1,2,160,144,16,21.67,89,72,17,23.04,22448,20120,26624,20960,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,448960.0,402400.0,532480.0,419200.0,0.1,0.19101123595505617
2,3,160,143,17,22.22,93,73,20,23.89,23480,20936,27968,21808,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,469600.0,418720.0,559360.0,436160.0,0.10625,0.21505376344086022
3,4,160,144,16,21.93,87,73,14,23.23,22816,20488,26032,21520,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,456320.0,409760.0,520640.0,430400.0,0.1,0.16091954022988506
4,5,160,143,17,22.1,89,73,16,23.87,22968,20344,27048,21896,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,459360.0,406880.0,540960.0,437920.0,0.10625,0.1797752808988764
5,6,160,145,15,21.87,89,72,17,23.31,22688,20112,26112,20960,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,453760.0,402240.0,522240.0,419200.0,0.09375,0.19101123595505617
6,7,160,145,15,22.26,87,72,15,23.9,27544,25192,26824,21816,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,550880.0,503840.0,536480.0,436320.0,0.09375,0.1724137931034483
7,8,160,146,14,22.07,90,75,15,23.63,23152,20864,27288,22536,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,463040.0,417280.0,545760.0,450720.0,0.0875,0.16666666666666666
8,9,160,146,14,22.02,87,73,14,23.51,23136,20768,26616,21976,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,462720.0,415360.0,532320.0,439520.0,0.0875,0.16091954022988506
9,10,160,141,19,22.19,89,74,15,23.7,23128,19984,27544,22472,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,462560.0,399680.0,550880.0,449440.0,0.11875,0.16853932584269662
10,11,160,144,16,22.2,94,74,20,23.65,23024,20608,29040,22288,2,0,51,5,241227-172934_Run_13_Idx_94153,640,0,5e-05,20000000,460480.0,412160.0,580800.0,445760.0,0.1,0.2127659574468085
