   ,RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL ,DL_throughput_bits ,DL_goodput_bits ,UL_throughput_bits ,UL_goodput_bits ,TTI ,PulseBWoffset ,numRBs ,NumFrames ,FolderName                    ,prf  ,FreqOffset ,PulseWidth             ,BW       ,DL_throughput_bps ,DL_goodput_bps ,UL_throughput_bps ,UL_goodput_bps ,DLReTxPrcnt ,ULReTxPrcnt
 0 ,   1 ,        98 ,      98 ,         0 ,    24.63 ,        30 ,      30 ,         0 ,    26.6  ,            174688 ,         174688 ,             55344 ,          55344 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3493760.0 ,     3493760.0 ,        1106880.0 ,     1106880.0 ,        0.0 ,0.0
 1 ,   2 ,        98 ,      98 ,         0 ,    24.39 ,        30 ,      30 ,         0 ,    26.27 ,            173352 ,         173352 ,             54640 ,          54640 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3467040.0 ,     3467040.0 ,        1092800.0 ,     1092800.0 ,        0.0 ,0.0
 2 ,   3 ,        98 ,      98 ,         0 ,    24.45 ,        30 ,      30 ,         0 ,    26.6  ,            174232 ,         174232 ,             55752 ,          55752 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3484640.0 ,     3484640.0 ,        1115040.0 ,     1115040.0 ,        0.0 ,0.0
 3 ,   4 ,        98 ,      98 ,         0 ,    24.24 ,        30 ,      30 ,         0 ,    26.2  ,            171688 ,         171688 ,             56752 ,          56752 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3433760.0 ,     3433760.0 ,        1135040.0 ,     1135040.0 ,        0.0 ,0.0
 4 ,   5 ,        98 ,      98 ,         0 ,    24.37 ,        30 ,      30 ,         0 ,    26.33 ,            170776 ,         170776 ,             56464 ,          56464 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3415520.0 ,     3415520.0 ,        1129280.0 ,     1129280.0 ,        0.0 ,0.0
 5 ,   6 ,        98 ,      98 ,         0 ,    24.2  ,        29 ,      29 ,         0 ,    26.24 ,            170000 ,         170000 ,             52168 ,          52168 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3400000.0 ,     3400000.0 ,        1043360.0 ,     1043360.0 ,        0.0 ,0.0
 6 ,   7 ,        98 ,      98 ,         0 ,    24.0  ,        29 ,      29 ,         0 ,    25.9  ,            167944 ,         167944 ,             52008 ,          52008 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3358880.0 ,     3358880.0 ,        1040160.0 ,     1040160.0 ,        0.0 ,0.0
 7 ,   8 ,        98 ,      98 ,         0 ,    24.53 ,        29 ,      29 ,         0 ,    26.52 ,            172032 ,         172032 ,             53568 ,          53568 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3440640.0 ,     3440640.0 ,        1071360.0 ,     1071360.0 ,        0.0 ,0.0
 8 ,   9 ,        98 ,      98 ,         0 ,    24.55 ,        29 ,      29 ,         0 ,    26.59 ,            172848 ,         172848 ,             55304 ,          55304 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3456960.0 ,     3456960.0 ,        1106080.0 ,     1106080.0 ,        0.0 ,0.0
 9 ,  10 ,        98 ,      98 ,         0 ,    25.02 ,        29 ,      29 ,         0 ,    27.0  ,            176048 ,         176048 ,             55880 ,          55880 ,  7 ,      1000000 ,    51 ,        5 ,241223-133529_Run_1_Idx_3487  ,2000 ,   1000000 ,2.6500000000000004e-05 ,20000000 ,        3520960.0 ,     3520960.0 ,        1117600.0 ,     1117600.0 ,        0.0 ,0.0
