RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,98,98,0,24.63,30,30,0,26.6,174688,174688,55344,55344,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
2,98,98,0,24.39,30,30,0,26.27,173352,173352,54640,54640,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
3,98,98,0,24.45,30,30,0,26.6,174232,174232,55752,55752,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
4,98,98,0,24.24,30,30,0,26.2,171688,171688,56752,56752,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
5,98,98,0,24.37,30,30,0,26.33,170776,170776,56464,56464,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
6,98,98,0,24.2,29,29,0,26.24,170000,170000,52168,52168,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
7,98,98,0,24.0,29,29,0,25.9,167944,167944,52008,52008,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
8,98,98,0,24.53,29,29,0,26.52,172032,172032,53568,53568,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
9,98,98,0,24.55,29,29,0,26.59,172848,172848,55304,55304,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
10,98,98,0,25.02,29,29,0,27.0,176048,176048,55880,55880,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
11,97,97,0,24.42,29,29,0,26.52,171416,171416,53000,53000,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
12,97,97,0,24.03,29,29,0,25.9,168240,168240,51560,51560,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
13,97,97,0,24.11,29,29,0,26.24,169176,169176,52896,52896,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
14,97,97,0,24.68,29,29,0,26.79,173440,173440,56648,56648,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
15,97,97,0,23.85,29,29,0,25.83,167680,167680,55208,55208,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
16,97,97,0,24.57,29,29,0,26.24,172904,172904,53672,53672,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
17,97,97,0,24.24,29,29,0,25.97,170664,170664,53224,53224,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
18,97,97,0,24.26,29,29,0,26.03,170360,170360,53864,53864,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
19,97,97,0,24.24,29,29,0,26.1,170008,170008,54920,54920,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
20,97,97,0,24.69,29,29,0,26.45,173400,173400,56104,56104,7,1000000,51,5,241223-133529_Run_1_Idx_3487,2000,1000000,2.6500000000000004e-05,20000000,1,0
