   ,RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL ,DL_throughput_bits ,DL_goodput_bits ,UL_throughput_bits ,UL_goodput_bits ,TTI ,PulseBWoffset ,numRBs ,NumFrames ,FolderName ,prf  ,FreqOffset ,PulseWidth ,BW       ,DL_throughput_bps ,DL_goodput_bps ,UL_throughput_bps ,UL_goodput_bps ,DLReTxPrcnt ,ULReTxPrcnt
 0 ,   1 ,        52 ,      52 ,         0 ,    23.96 ,        12 ,      12 ,         0 ,    26.33 ,            190256 ,         190256 ,             53160 ,          53160 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3805120.0 ,     3805120.0 ,        1063200.0 ,     1063200.0 ,        0.0 ,        0.0
 1 ,   2 ,        52 ,      52 ,         0 ,    24.08 ,        12 ,      12 ,         0 ,    26.17 ,            191352 ,         191352 ,             52904 ,          52904 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3827040.0 ,     3827040.0 ,        1058080.0 ,     1058080.0 ,        0.0 ,        0.0
 2 ,   3 ,        52 ,      52 ,         0 ,    24.15 ,        12 ,      12 ,         0 ,    26.67 ,            190152 ,         190152 ,             53672 ,          53672 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3803040.0 ,     3803040.0 ,        1073440.0 ,     1073440.0 ,        0.0 ,        0.0
 3 ,   4 ,        52 ,      52 ,         0 ,    23.73 ,        12 ,      12 ,         0 ,    26.0  ,            189656 ,         189656 ,             52648 ,          52648 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3793120.0 ,     3793120.0 ,        1052960.0 ,     1052960.0 ,        0.0 ,        0.0
 4 ,   5 ,        52 ,      52 ,         0 ,    24.08 ,        12 ,      12 ,         0 ,    25.67 ,            192744 ,         192744 ,             52136 ,          52136 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3854880.0 ,     3854880.0 ,        1042720.0 ,     1042720.0 ,        0.0 ,        0.0
 5 ,   6 ,        52 ,      52 ,         0 ,    24.42 ,        12 ,      12 ,         0 ,    26.33 ,            195448 ,         195448 ,             53160 ,          53160 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3908960.0 ,     3908960.0 ,        1063200.0 ,     1063200.0 ,        0.0 ,        0.0
 6 ,   7 ,        52 ,      52 ,         0 ,    24.23 ,        12 ,      12 ,         0 ,    26.17 ,            189592 ,         189592 ,             54016 ,          54016 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3791840.0 ,     3791840.0 ,        1080320.0 ,     1080320.0 ,        0.0 ,        0.0
 7 ,   8 ,        52 ,      52 ,         0 ,    23.96 ,        12 ,      12 ,         0 ,    25.67 ,            186240 ,         186240 ,             52136 ,          52136 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3724800.0 ,     3724800.0 ,        1042720.0 ,     1042720.0 ,        0.0 ,        0.0
 8 ,   9 ,        52 ,      52 ,         0 ,    24.31 ,        12 ,      12 ,         0 ,    26.17 ,            189568 ,         189568 ,             52904 ,          52904 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3791360.0 ,     3791360.0 ,        1058080.0 ,     1058080.0 ,        0.0 ,        0.0
 9 ,  10 ,        52 ,      52 ,         0 ,    24.15 ,        12 ,      12 ,         0 ,    25.83 ,            188288 ,         188288 ,             52392 ,          52392 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3765760.0 ,     3765760.0 ,        1047840.0 ,     1047840.0 ,        0.0 ,        0.0
10 ,  11 ,        52 ,      52 ,         0 ,    24.31 ,        12 ,      12 ,         0 ,    26.33 ,            186888 ,         186888 ,             53160 ,          53160 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3737760.0 ,     3737760.0 ,        1063200.0 ,     1063200.0 ,        0.0 ,        0.0
11 ,  12 ,        52 ,      52 ,         0 ,    24.92 ,        12 ,      12 ,         0 ,    26.67 ,            193712 ,         193712 ,             53672 ,          53672 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3874240.0 ,     3874240.0 ,        1073440.0 ,     1073440.0 ,        0.0 ,        0.0
12 ,  13 ,        52 ,      52 ,         0 ,    24.5  ,        12 ,      12 ,         0 ,    26.33 ,            190384 ,         190384 ,             53160 ,          53160 , 14 ,      1000000 ,    51 ,        5 ,           ,2000 ,   1000000 ,3.49e-05   ,20000000 ,        3807680.0 ,     3807680.0 ,        1063200.0 ,     1063200.0 ,        0.0 ,        0.0
