,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,50,50,0,24.04,13,10,3,26.54,184200,184200,58536,44712,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3684000.0,3684000.0,1170720.0,894240.0,0.0,0.23076923076923078
1,2,50,50,0,24.08,13,10,3,26.23,181624,181624,58024,44200,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3632480.0,3632480.0,1160480.0,884000.0,0.0,0.23076923076923078
2,3,50,50,0,24.0,12,9,3,26.67,178816,178816,53928,40104,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3576320.0,3576320.0,1078560.0,802080.0,0.0,0.25
3,4,51,50,1,23.98,13,10,3,26.23,187168,182688,58880,45056,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3743360.0,3653760.0,1177600.0,901120.0,0.0196078431372549,0.23076923076923078
4,5,52,50,2,24.19,13,10,3,26.08,192440,184248,57600,44544,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3848800.0,3684960.0,1152000.0,890880.0,0.038461538461538464,0.23076923076923078
5,6,53,49,4,24.06,12,9,3,26.0,191672,177456,53160,39336,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3833440.0,3549120.0,1063200.0,786720.0,0.07547169811320754,0.25
6,7,54,50,4,24.85,12,9,3,26.5,201536,186424,53416,39592,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,4030720.0,3728480.0,1068320.0,791840.0,0.07407407407407407,0.25
7,8,53,50,3,24.62,10,7,3,26.4,191560,181824,43688,30632,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3831200.0,3636480.0,873760.0,612640.0,0.05660377358490566,0.3
8,9,52,49,3,24.19,12,9,3,26.0,184208,174744,51280,38224,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3684160.0,3494880.0,1025600.0,764480.0,0.057692307692307696,0.25
9,10,52,48,4,25.12,12,9,3,27.0,190704,175784,53072,39248,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3814080.0,3515680.0,1061440.0,784960.0,0.07692307692307693,0.25
10,11,53,50,3,23.91,12,9,3,25.83,183696,173960,52904,39080,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3673920.0,3479200.0,1058080.0,781600.0,0.05660377358490566,0.25
11,12,52,48,4,25.15,12,9,3,26.83,193696,178968,55040,41216,14,0,51,5,0,250112-130933_Run_132_Idx_55529,330,0,5e-05,20000000,3873920.0,3579360.0,1100800.0,824320.0,0.07692307692307693,0.25
