,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,160,47,113,25.82,38,10,28,25.58,4853296,1326272,1797872,479184,14,0,51,10,0,250421-213944_Run_484_Idx_2191,1210,0,5e-05,20000000,48532960.0,13262720.0,17978720.0,4791840.0,0.70625,0.7368421052631579
1,1,290,81,209,25.71,95,25,70,27.0,4251112,1163200,2320888,610760,7,0,51,10,0,250421-211923_Run_875_Idx_45254,2190,0,5e-05,20000000,42511120.0,11632000.0,23208880.0,6107600.0,0.7206896551724138,0.7368421052631579
2,1,320,118,202,6.89,304,129,175,3.45,82432,23040,41344,17544,2,0,51,10,0,250421-224138_Run_1597_Idx_26368,4000,0,5e-05,20000000,824320.0,230400.0,413440.0,175440.0,0.63125,0.5756578947368421
3,1,320,88,232,23.75,171,52,119,23.54,1566128,405832,1342384,363776,4,0,51,10,0,250421-220706_Run_1510_Idx_94268,3780,0,5e-05,20000000,15661280.0,4058320.0,13423840.0,3637760.0,0.725,0.695906432748538
4,1,320,104,216,20.19,304,96,208,22.32,326624,86408,1066528,278040,2,0,51,10,0,250421-223845_Run_1693_Idx_6392,4240,0,5e-05,20000000,3266240.0,864080.0,10665280.0,2780400.0,0.675,0.6842105263157895
5,1,320,80,240,26.56,171,45,126,27.0,1942144,485536,1975848,519960,4,0,51,10,0,250421-210209_Run_194_Idx_48165,490,0,5e-05,20000000,19421440.0,4855360.0,19758480.0,5199600.0,0.75,0.7368421052631579
6,1,160,46,114,24.31,38,13,25,24.16,4167624,1147600,1855440,542344,14,0,51,10,0,250421-214952_Run_468_Idx_99155,1170,0,5e-05,20000000,41676240.0,11476000.0,18554400.0,5423440.0,0.7125,0.6578947368421053
7,1,320,89,231,21.76,171,65,106,18.74,1426048,370368,1043688,314040,4,0,51,10,0,250421-222605_Run_1358_Idx_30345,3400,0,5e-05,20000000,14260480.0,3703680.0,10436880.0,3140400.0,0.721875,0.6198830409356725
8,1,320,80,240,26.6,304,94,210,25.58,487424,121856,1266352,351616,2,0,51,10,0,250421-210802_Run_421_Idx_14466,1060,0,5e-05,20000000,4874240.0,1218560.0,12663520.0,3516160.0,0.75,0.6907894736842105
9,1,320,89,231,19.72,171,53,118,17.71,1075032,276128,626232,196608,4,0,51,10,0,250421-224913_Run_1886_Idx_70468,4720,0,5e-05,20000000,10750320.0,2761280.0,6262320.0,1966080.0,0.721875,0.6900584795321637
10,1,290,79,211,26.2,95,25,70,27.0,4593992,1225904,2320888,610760,7,0,51,10,0,250421-215306_Run_463_Idx_82624,1160,0,5e-05,20000000,45939920.0,12259040.0,23208880.0,6107600.0,0.7275862068965517,0.7368421052631579
11,1,290,78,212,18.04,95,25,70,16.27,2025992,523176,1021040,256256,7,0,51,10,0,250421-225127_Run_1819_Idx_46758,4550,0,5e-05,20000000,20259920.0,5231760.0,10210400.0,2562560.0,0.7310344827586207,0.7368421052631579
12,1,320,83,237,24.27,171,50,121,23.1,1569760,396560,1211056,319136,4,0,51,10,0,250421-230036_Run_1930_Idx_56405,4830,0,5e-05,20000000,15697600.0,3965600.0,12110560.0,3191360.0,0.740625,0.7076023391812866
13,1,320,104,216,23.61,304,102,202,22.8,416896,115408,1062184,287544,2,0,51,10,0,250421-222301_Run_1065_Idx_79491,2670,0,5e-05,20000000,4168960.0,1154080.0,10621840.0,2875440.0,0.675,0.6644736842105263
14,1,290,80,210,26.17,95,27,68,25.58,4542152,1230872,2102096,574016,7,0,51,10,0,250421-212042_Run_635_Idx_34661,1590,0,5e-05,20000000,45421520.0,12308720.0,21020960.0,5740160.0,0.7241379310344828,0.7157894736842105
15,1,290,88,202,25.47,95,35,60,24.16,4576392,1254456,2084552,618728,7,0,51,10,0,250421-204215_Run_99_Idx_45491,250,0,5e-05,20000000,45763920.0,12544560.0,20845520.0,6187280.0,0.696551724137931,0.631578947368421
16,1,320,80,240,26.65,304,112,192,24.07,494080,123520,1205536,358408,2,0,51,10,0,250421-210035_Run_197_Idx_19702,500,0,5e-05,20000000,4940800.0,1235200.0,12055360.0,3584080.0,0.75,0.631578947368421
17,1,290,78,212,26.59,95,25,70,27.0,4720392,1265256,2320888,610760,7,0,51,10,0,250421-212935_Run_739_Idx_10643,1850,0,5e-05,20000000,47203920.0,12652560.0,23208880.0,6107600.0,0.7310344827586207,0.7368421052631579
18,1,320,80,240,26.12,171,47,124,25.11,1915904,478976,1422704,378808,4,0,51,10,0,250421-221640_Run_1494_Idx_10844,3740,0,5e-05,20000000,19159040.0,4789760.0,14227040.0,3788080.0,0.75,0.7251461988304093
19,1,320,80,240,26.48,171,45,126,27.0,1915904,478976,1975848,519960,4,0,51,10,0,250421-204514_Run_42_Idx_33009,110,0,5e-05,20000000,19159040.0,4789760.0,19758480.0,5199600.0,0.75,0.7368421052631579
20,1,320,80,240,26.65,304,80,224,27.0,494080,123520,1361920,358400,2,0,51,10,0,250421-210448_Run_189_Idx_71618,480,0,5e-05,20000000,4940800.0,1235200.0,13619200.0,3584000.0,0.75,0.7368421052631579
21,1,160,43,117,23.49,38,10,28,21.32,4293376,1150752,1337328,364048,14,0,51,10,0,250421-225939_Run_1904_Idx_22272,4760,0,5e-05,20000000,42933760.0,11507520.0,13373280.0,3640480.0,0.73125,0.7368421052631579
22,1,160,43,117,25.72,38,10,28,25.58,4894896,1322520,1797872,479184,14,0,51,10,0,250421-211003_Run_536_Idx_1820,1340,0,5e-05,20000000,48948960.0,13225200.0,17978720.0,4791840.0,0.73125,0.7368421052631579
23,1,160,44,116,26.33,38,10,28,27.0,5039040,1348568,2258416,594320,14,0,51,10,0,250421-210709_Run_304_Idx_93324,760,0,5e-05,20000000,50390400.0,13485680.0,22584160.0,5943200.0,0.725,0.7368421052631579
24,1,320,94,226,25.25,304,80,224,27.0,452048,119536,1361920,358400,2,0,51,10,0,250421-211013_Run_417_Idx_14466,1050,0,5e-05,20000000,4520480.0,1195360.0,13619200.0,3584000.0,0.70625,0.7368421052631579
25,1,320,80,240,26.5,171,45,126,27.0,1915904,478976,1975848,519960,4,0,51,10,0,250421-210346_Run_310_Idx_51250,780,0,5e-05,20000000,19159040.0,4789760.0,19758480.0,5199600.0,0.75,0.7368421052631579
26,1,160,43,117,26.61,38,10,28,27.0,5235144,1386000,2258416,594320,14,0,51,10,0,250421-213006_Run_144_Idx_82007,360,0,5e-05,20000000,52351440.0,13860000.0,22584160.0,5943200.0,0.73125,0.7368421052631579
