,Unnamed: 0,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,0.0,1.0,160.0,47.0,113.0,25.82,38.0,10.0,28.0,25.58,4853296.0,1326272.0,1797872.0,479184.0,14.0,0.0,51.0,10.0,0.0,1210.0,0.0,5e-05,20000000.0,48532960.0,13262720.0,17978720.0,4791840.0,0.70625,0.7368421052631579
1,1.0,1.0,290.0,81.0,209.0,25.71,95.0,25.0,70.0,27.0,4251112.0,1163200.0,2320888.0,610760.0,7.0,0.0,51.0,10.0,0.0,2190.0,0.0,5e-05,20000000.0,42511120.0,11632000.0,23208880.0,6107600.0,0.7206896551724138,0.7368421052631579
2,2.0,1.0,320.0,118.0,202.0,6.89,304.0,129.0,175.0,3.45,82432.0,23040.0,41344.0,17544.0,2.0,0.0,51.0,10.0,0.0,4000.0,0.0,5e-05,20000000.0,824320.0,230400.0,413440.0,175440.0,0.63125,0.5756578947368421
3,3.0,1.0,320.0,88.0,232.0,23.75,171.0,52.0,119.0,23.54,1566128.0,405832.0,1342384.0,363776.0,4.0,0.0,51.0,10.0,0.0,3780.0,0.0,5e-05,20000000.0,15661280.0,4058320.0,13423840.0,3637760.0,0.725,0.695906432748538
4,4.0,1.0,320.0,104.0,216.0,20.19,304.0,96.0,208.0,22.32,326624.0,86408.0,1066528.0,278040.0,2.0,0.0,51.0,10.0,0.0,4240.0,0.0,5e-05,20000000.0,3266240.0,864080.0,10665280.0,2780400.0,0.675,0.6842105263157895
5,5.0,1.0,320.0,80.0,240.0,26.56,171.0,45.0,126.0,27.0,1942144.0,485536.0,1975848.0,519960.0,4.0,0.0,51.0,10.0,0.0,490.0,0.0,5e-05,20000000.0,19421440.0,4855360.0,19758480.0,5199600.0,0.75,0.7368421052631579
6,6.0,1.0,160.0,46.0,114.0,24.31,38.0,13.0,25.0,24.16,4167624.0,1147600.0,1855440.0,542344.0,14.0,0.0,51.0,10.0,0.0,1170.0,0.0,5e-05,20000000.0,41676240.0,11476000.0,18554400.0,5423440.0,0.7125,0.6578947368421053
7,7.0,1.0,320.0,89.0,231.0,21.76,171.0,65.0,106.0,18.74,1426048.0,370368.0,1043688.0,314040.0,4.0,0.0,51.0,10.0,0.0,3400.0,0.0,5e-05,20000000.0,14260480.0,3703680.0,10436880.0,3140400.0,0.721875,0.6198830409356725
8,8.0,1.0,320.0,80.0,240.0,26.6,304.0,94.0,210.0,25.58,487424.0,121856.0,1266352.0,351616.0,2.0,0.0,51.0,10.0,0.0,1060.0,0.0,5e-05,20000000.0,4874240.0,1218560.0,12663520.0,3516160.0,0.75,0.6907894736842105
9,9.0,1.0,320.0,89.0,231.0,19.72,171.0,53.0,118.0,17.71,1075032.0,276128.0,626232.0,196608.0,4.0,0.0,51.0,10.0,0.0,4720.0,0.0,5e-05,20000000.0,10750320.0,2761280.0,6262320.0,1966080.0,0.721875,0.6900584795321637
