,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,160,48,112,26.2,144,48,96,27.0,219904,68352,645120,215040,2,0,51,5,0,250421-085644_Run_689_Idx_7420,1730,0,5e-05,20000000,4398080.0,1367040.0,12902400.0,4300800.0,0.7,0.6666666666666666
1,1,80,25,55,25.2,18,6,12,24.0,2417192,709040,954640,241456,14,0,51,5,0,250421-085734_Run_448_Idx_66277,1120,0,5e-05,20000000,48343840.0,14180800.0,19092800.0,4829120.0,0.6875,0.6666666666666666
2,1,160,62,98,23.6,144,72,72,15.32,197616,67696,354072,135768,2,0,51,5,0,250421-093223_Run_1277_Idx_96904,3200,0,5e-05,20000000,3952320.0,1353920.0,7081440.0,2715360.0,0.6125,0.5
3,1,145,46,99,21.39,45,15,30,19.96,1491872,384520,518064,132504,7,0,51,5,0,250421-095007_Run_1719_Idx_32731,4300,0,5e-05,20000000,29837440.0,7690400.0,10361280.0,2650080.0,0.6827586206896552,0.6666666666666666
4,1,145,45,100,24.63,45,15,30,24.0,2011072,586272,981200,248288,7,0,51,5,0,250421-093317_Run_1391_Idx_24331,3480,0,5e-05,20000000,40221440.0,11725440.0,19624000.0,4965760.0,0.6896551724137931,0.6666666666666666
5,1,80,26,54,25.66,18,6,12,27.0,2360240,750832,1069776,356592,14,0,51,5,0,250421-085157_Run_96_Idx_76244,240,0,5e-05,20000000,47204800.0,15016640.0,21395520.0,7131840.0,0.675,0.6666666666666666
6,1,80,25,55,24.12,18,6,12,21.0,1925168,590640,609232,241456,14,0,51,5,0,250421-091012_Run_880_Idx_47249,2200,0,5e-05,20000000,38503360.0,11812800.0,12184640.0,4829120.0,0.6875,0.6666666666666666
7,1,160,48,112,26.3,144,57,87,21.06,226560,70016,458328,133728,2,0,51,5,0,250421-091104_Run_877_Idx_38001,2200,0,5e-05,20000000,4531200.0,1400320.0,9166560.0,2674560.0,0.7,0.6041666666666666
8,1,145,45,100,25.77,45,15,30,27.0,2069472,656512,1099368,366456,7,0,51,5,0,250421-095358_Run_1855_Idx_61030,4640,0,5e-05,20000000,41389440.0,13130240.0,21987360.0,7329120.0,0.6896551724137931,0.6666666666666666
9,1,160,62,98,22.39,144,48,96,22.78,184528,66032,484392,145536,2,0,51,5,0,250421-093229_Run_1333_Idx_75394,3340,0,5e-05,20000000,3690560.0,1320640.0,9687840.0,2910720.0,0.6125,0.6666666666666666
