,Unnamed: 0,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,2.0,3.0,298.2,86.6,211.6,24.712,249.6,75.8,173.8,22.968000000000004,90611.2,25124.8,156233.6,43172.8,2.0,0.0,51.0,10.0,0.0,4830.0,0.0,5e-05,20000000.0,906112.0,251248.0,1562336.0,431728.0,0.7094490959942795,0.6963333599609184
1,7.0,3.0,311.0,80.0,231.0,26.488,163.0,46.6,116.4,26.133999999999997,355456.0,91868.8,294478.4,80433.6,4.0,0.0,51.0,10.0,0.0,700.0,0.0,5e-05,20000000.0,3554560.0,918688.0,2944784.0,804336.0,0.7427610281779096,0.7141105199034107
2,12.0,3.0,157.6,43.2,114.4,26.636000000000003,36.8,9.8,27.0,27.0,984196.8,267452.8,370937.6,98356.8,14.0,0.0,51.0,10.0,0.0,820.0,0.0,5e-05,20000000.0,9841968.0,2674528.0,3709376.0,983568.0,0.7258969604128033,0.7339971550497866
3,17.0,3.0,316.0,80.0,236.0,25.918,293.2,91.0,202.2,25.528000000000002,101388.8,25713.6,217608.0,60824.0,2.0,0.0,51.0,10.0,0.0,1350.0,0.0,5e-05,20000000.0,1013888.0,257136.0,2176080.0,608240.0,0.7468223155589192,0.6896112569397379
4,22.0,3.0,274.6,78.0,196.6,25.674,88.8,26.8,62.0,24.775999999999996,799083.2,224427.2,319803.2,88664.0,7.0,0.0,51.0,10.0,0.0,1900.0,0.0,5e-05,20000000.0,7990832.0,2244272.0,3198032.0,886640.0,0.7159395189253607,0.6979859795377037
5,27.0,3.0,258.6,71.8,186.8,25.962,88.4,31.2,57.2,23.434,774761.6,205259.2,315137.6,89246.4,7.0,0.0,51.0,10.0,0.0,1040.0,0.0,5e-05,20000000.0,7747616.0,2052592.0,3151376.0,892464.0,0.7224119051690444,0.6471494917806064
6,32.0,3.0,311.8,89.6,222.2,24.926,160.0,48.2,111.8,25.163999999999998,331667.2,89624.0,283105.6,76424.0,4.0,0.0,51.0,10.0,0.0,1820.0,0.0,5e-05,20000000.0,3316672.0,896240.0,2831056.0,764240.0,0.7126284604166788,0.6988360489204047
7,37.0,3.0,285.4,80.4,205.0,23.424,163.6,47.4,116.2,19.979999999999997,303387.2,83688.0,179086.4,46590.4,4.0,0.0,51.0,10.0,0.0,4950.0,0.0,5e-05,20000000.0,3033872.0,836880.0,1790864.0,465904.0,0.7183511377317255,0.7102376074791239
8,42.0,3.0,313.2,80.0,233.2,26.544,280.8,81.4,199.4,26.412,95404.8,24427.2,223190.4,61833.6,2.0,0.0,51.0,10.0,0.0,360.0,0.0,5e-05,20000000.0,954048.0,244272.0,2231904.0,618336.0,0.7445686217668881,0.7100898619148659
9,47.0,3.0,303.0,80.0,223.0,26.038,164.8,52.2,112.6,24.946,342222.4,93046.4,277523.2,75424.0,4.0,0.0,51.0,10.0,0.0,900.0,0.0,5e-05,20000000.0,3422224.0,930464.0,2775232.0,754240.0,0.7359379413398995,0.6831721835075494
