,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,80,26,54,24.79,18,6,12,24.0,2300992,691584,781936,241456,14,0,51,5,30,250424-225520_Run_200_Idx_86683,500,0,5e-05,20000000,46019840.0,13831680.0,15638720.0,4829120.0,0.675,0.6666666666666666
1,1,160,48,112,26.2,144,48,96,27.0,219904,68352,645120,215040,2,0,51,5,30,250424-234032_Run_125_Idx_7420,320,0,5e-05,20000000,4398080.0,1367040.0,12902400.0,4300800.0,0.7,0.6666666666666666
2,1,80,24,56,25.52,18,6,12,24.0,2379344,687984,954640,241456,14,0,51,5,30,250424-225315_Run_1036_Idx_54226,2590,0,5e-05,20000000,47586880.0,13759680.0,19092800.0,4829120.0,0.7,0.6666666666666666
3,1,160,59,101,23.6,144,48,96,27.0,192792,62680,645120,215040,2,0,51,5,30,250425-000939_Run_1265_Idx_55923,3170,0,5e-05,20000000,3855840.0,1253600.0,12902400.0,4300800.0,0.63125,0.6666666666666666
4,1,145,44,101,12.83,45,15,30,11.84,778432,225944,142704,117432,7,0,51,5,30,250425-002240_Run_1363_Idx_51592,3410,0,5e-05,20000000,15568640.0,4518880.0,2854080.0,2348640.0,0.696551724137931,0.6666666666666666
5,1,160,48,112,25.85,81,27,54,24.0,865984,268992,835232,211280,4,0,51,5,30,250425-000454_Run_1154_Idx_75070,2890,0,5e-05,20000000,17319680.0,5379840.0,16704640.0,4225600.0,0.7,0.6666666666666666
6,1,160,61,99,23.3,144,48,96,27.0,181672,62440,645120,215040,2,0,51,5,30,250424-235553_Run_1109_Idx_86104,2780,0,5e-05,20000000,3633440.0,1248800.0,12902400.0,4300800.0,0.61875,0.6666666666666666
7,1,160,48,112,26.3,144,48,96,27.0,226560,70016,645120,215040,2,0,51,5,30,250424-225749_Run_553_Idx_25592,1390,0,5e-05,20000000,4531200.0,1400320.0,12902400.0,4300800.0,0.7,0.6666666666666666
8,1,160,48,112,26.3,144,48,96,27.0,226560,70016,645120,215040,2,0,51,5,30,250424-225842_Run_789_Idx_82062,1980,0,5e-05,20000000,4531200.0,1400320.0,12902400.0,4300800.0,0.7,0.6666666666666666
9,1,160,48,112,24.4,81,27,54,20.72,865984,268992,483320,188744,4,0,51,5,30,250425-010239_Run_1902_Idx_75070,4760,0,5e-05,20000000,17319680.0,5379840.0,9666400.0,3774880.0,0.7,0.6666666666666666
10,1,160,62,98,23.29,144,48,96,27.0,192792,67696,645120,215040,2,0,51,5,30,250424-233813_Run_605_Idx_52545,1520,0,5e-05,20000000,3855840.0,1353920.0,12902400.0,4300800.0,0.6125,0.6666666666666666
11,1,145,45,100,25.34,45,15,30,24.0,2113792,620512,981200,248288,7,0,51,5,30,250424-232015_Run_635_Idx_24331,1590,0,5e-05,20000000,42275840.0,12410240.0,19624000.0,4965760.0,0.6896551724137931,0.6666666666666666
