,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,52,41,11,2.04,26,15,11,0.23,13096,7480,1936,1200,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,261920.0,149600.0,38720.0,24000.0,0.21153846153846154,0.4230769230769231
1,2,52,41,11,1.88,27,16,11,0.37,12848,7048,1696,992,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,256960.0,140960.0,33920.0,19840.0,0.21153846153846154,0.4074074074074074
2,3,52,43,9,2.25,27,16,11,0.22,13272,8080,1664,960,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,265440.0,161600.0,33280.0,19200.0,0.17307692307692307,0.4074074074074074
3,4,51,43,8,1.75,25,16,9,0.12,11632,7400,1584,1008,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,232640.0,148000.0,31680.0,20160.0,0.1568627450980392,0.36
4,5,52,43,9,1.63,28,16,12,0.21,8784,6328,1776,1008,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,175680.0,126560.0,35520.0,20160.0,0.17307692307692307,0.42857142857142855
5,6,50,43,7,1.66,27,15,12,0.11,9352,6984,1760,960,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,187040.0,139680.0,35200.0,19200.0,0.14,0.4444444444444444
6,7,51,42,9,1.49,25,16,9,0.44,9136,6752,1568,992,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,182720.0,135040.0,31360.0,19840.0,0.17647058823529413,0.36
7,8,55,42,13,1.51,23,16,7,0.04,9808,6736,1440,992,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,196160.0,134720.0,28800.0,19840.0,0.23636363636363636,0.30434782608695654
8,9,54,41,13,2.19,23,17,6,0.22,12888,7824,1440,1056,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,257760.0,156480.0,28800.0,21120.0,0.24074074074074073,0.2608695652173913
9,10,48,42,6,2.08,22,17,5,0.27,11280,7616,1632,1312,7,9500000,51,5,241231-051935_Run_75_Idx_95248,2000,9500000,1.826363636363636e-05,1000000,225600.0,152320.0,32640.0,26240.0,0.125,0.22727272727272727
