,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,38,38,0,1.21,14,8,6,0.79,10592,10592,4256,2272,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,211840.0,211840.0,85120.0,45440.0,0.0,0.42857142857142855
1,2,42,38,4,1.4,8,8,0,0.0,15072,11272,1152,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,301440.0,225440.0,23040.0,23040.0,0.09523809523809523,0.0
2,3,45,37,8,1.71,10,8,2,0.0,17912,12752,1440,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,358240.0,255040.0,28800.0,23040.0,0.17777777777777778,0.2
3,4,42,38,4,1.29,10,8,2,0.0,14024,11032,1440,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,280480.0,220640.0,28800.0,23040.0,0.09523809523809523,0.2
4,5,41,37,4,1.32,10,7,3,0.0,14536,9512,1440,1008,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,290720.0,190240.0,28800.0,20160.0,0.0975609756097561,0.3
5,6,40,38,2,0.95,13,8,5,0.54,10584,9368,2000,1184,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,211680.0,187360.0,40000.0,23680.0,0.05,0.38461538461538464
6,7,38,38,0,1.03,12,7,5,0.08,9840,9840,1728,1008,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,196800.0,196800.0,34560.0,20160.0,0.0,0.4166666666666667
7,8,39,38,1,0.97,13,8,5,0.0,10552,9880,1872,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,211040.0,197600.0,37440.0,23040.0,0.02564102564102564,0.38461538461538464
8,9,43,36,7,1.4,12,8,4,0.58,12896,10184,2848,1712,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,257920.0,203680.0,56960.0,34240.0,0.16279069767441862,0.3333333333333333
9,10,42,37,5,1.05,12,8,4,0.0,12616,9976,1728,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,252320.0,199520.0,34560.0,23040.0,0.11904761904761904,0.3333333333333333
10,11,42,38,4,1.0,12,8,4,0.0,12456,9712,1728,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,249120.0,194240.0,34560.0,23040.0,0.09523809523809523,0.3333333333333333
11,12,40,38,2,0.82,14,8,6,0.36,11320,9304,2016,1152,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,226400.0,186080.0,40320.0,23040.0,0.05,0.42857142857142855
12,13,41,38,3,1.07,12,6,6,0.92,11184,9960,1856,896,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,223680.0,199200.0,37120.0,17920.0,0.07317073170731707,0.5
13,14,38,38,0,0.97,8,7,1,0.12,9856,9856,1216,1040,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,197120.0,197120.0,24320.0,20800.0,0.0,0.125
14,15,39,38,1,1.08,9,7,2,0.0,10768,10416,1296,1008,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,215360.0,208320.0,25920.0,20160.0,0.02564102564102564,0.2222222222222222
15,16,42,36,6,1.43,9,6,3,0.0,13952,11328,1296,864,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,279040.0,226560.0,25920.0,17280.0,0.14285714285714285,0.3333333333333333
16,17,41,36,5,1.22,10,7,3,0.0,14832,10976,1440,1008,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,296640.0,219520.0,28800.0,20160.0,0.12195121951219512,0.3
17,18,40,36,4,1.48,9,6,3,0.11,16464,12040,1296,864,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,329280.0,240800.0,25920.0,17280.0,0.1,0.3333333333333333
18,19,38,36,2,1.0,10,6,4,0.0,10320,9264,1440,864,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,206400.0,185280.0,28800.0,17280.0,0.05263157894736842,0.4
19,20,37,37,0,1.11,12,6,6,0.5,9712,9712,1728,864,14,9500000,51,5,-10,241231-155810_Run_12_Idx_4209,2000,9500000,5e-05,1000000,194240.0,194240.0,34560.0,17280.0,0.0,0.5
20,1,94,93,1,4.11,24,22,2,3.54,27880,27592,7360,6496,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,557600.0,551840.0,147200.0,129920.0,0.010638297872340425,0.08333333333333333
21,2,97,89,8,4.29,25,21,4,3.8,30400,27064,8248,6520,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,608000.0,541280.0,164960.0,130400.0,0.08247422680412371,0.16
22,3,94,92,2,4.15,24,22,2,3.75,28936,27976,7680,6720,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,578720.0,559520.0,153600.0,134400.0,0.02127659574468085,0.08333333333333333
23,4,95,93,2,4.17,25,22,3,3.88,29104,28336,7904,6784,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,582080.0,566720.0,158080.0,135680.0,0.021052631578947368,0.12
24,5,93,91,2,3.94,25,21,4,4.04,27256,26488,8480,6832,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,545120.0,529760.0,169600.0,136640.0,0.021505376344086023,0.16
25,6,96,90,6,4.17,25,21,4,4.36,29632,27328,8240,6952,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,592640.0,546560.0,164800.0,139040.0,0.0625,0.16
26,7,93,93,0,3.99,24,22,2,3.88,27072,27072,7496,6536,7,9500000,51,5,-25,241231-155904_Run_23_Idx_56820,2000,9500000,5e-05,1000000,541440.0,541440.0,149920.0,130720.0,0.0,0.08333333333333333
