,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,134,104,30,1.23,52,42,10,0.29,8312,6080,1944,1536,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,166240.0,121600.0,38880.0,30720.0,0.22388059701492538,0.19230769230769232
1,2,134,102,32,1.32,51,42,9,0.06,7848,5744,1520,1240,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,156960.0,114880.0,30400.0,24800.0,0.23880597014925373,0.17647058823529413
2,3,137,100,37,1.08,50,42,8,0.12,7816,4840,1656,1408,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,156320.0,96800.0,33120.0,28160.0,0.27007299270072993,0.16
3,4,136,104,32,0.97,50,42,8,0.3,7088,4848,1608,1352,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,141760.0,96960.0,32160.0,27040.0,0.23529411764705882,0.16
4,5,135,104,31,1.1,50,42,8,0.24,7248,5216,1752,1408,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,144960.0,104320.0,35040.0,28160.0,0.22962962962962963,0.16
5,6,134,105,29,1.17,52,41,11,0.29,8408,5480,1912,1312,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,168160.0,109600.0,38240.0,26240.0,0.21641791044776118,0.21153846153846154
6,7,134,100,34,1.44,55,41,14,0.38,9760,5624,2512,1640,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,195200.0,112480.0,50240.0,32800.0,0.2537313432835821,0.2545454545454545
7,8,135,102,33,1.27,54,42,12,0.22,7464,5152,1616,1248,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,149280.0,103040.0,32320.0,24960.0,0.24444444444444444,0.2222222222222222
8,9,135,104,31,1.37,52,42,10,0.12,8408,5960,1552,1248,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,168160.0,119200.0,31040.0,24960.0,0.22962962962962963,0.19230769230769232
9,10,133,104,29,1.41,49,42,7,0.24,9264,6088,1640,1416,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,185280.0,121760.0,32800.0,28320.0,0.21804511278195488,0.14285714285714285
10,11,137,107,30,0.97,51,41,10,0.12,6864,5072,1680,1384,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,137280.0,101440.0,33600.0,27680.0,0.21897810218978103,0.19607843137254902
11,12,135,99,36,1.19,48,42,6,0.25,7144,4872,1600,1408,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,142880.0,97440.0,32000.0,28160.0,0.26666666666666666,0.125
12,13,138,103,35,1.09,50,42,8,0.3,8752,5496,1672,1424,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,175040.0,109920.0,33440.0,28480.0,0.2536231884057971,0.16
13,14,130,103,27,0.94,54,42,12,0.5,6856,5336,2256,1520,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,137120.0,106720.0,45120.0,30400.0,0.2076923076923077,0.2222222222222222
14,15,128,100,28,0.95,54,43,11,0.06,6272,4504,1696,1344,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,125440.0,90080.0,33920.0,26880.0,0.21875,0.2037037037037037
15,16,132,99,33,1.11,53,43,10,0.17,7264,5320,1680,1360,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,145280.0,106400.0,33600.0,27200.0,0.25,0.18867924528301888
16,17,134,99,35,1.34,52,41,11,0.17,9352,5616,1704,1288,4,0,51,5,0,250101-140103_Run_18_Idx_93208,2000,0,5e-05,20000000,187040.0,112320.0,34080.0,25760.0,0.26119402985074625,0.21153846153846154
