,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,98,96,2,22.09,29,27,2,23.52,154328,150280,49104,44800,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3086560.0,3005600.0,982080.0,896000.0,0.02040816326530612,0.06896551724137931
1,2,99,96,3,21.47,28,27,1,23.39,151824,146296,45800,44192,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3036480.0,2925920.0,916000.0,883840.0,0.030303030303030304,0.03571428571428571
2,3,98,96,2,21.66,27,27,0,23.04,152512,148464,44472,44472,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3050240.0,2969280.0,889440.0,889440.0,0.02040816326530612,0.0
3,4,99,97,2,21.69,28,27,1,23.39,154224,150176,47992,45840,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3084480.0,3003520.0,959840.0,916800.0,0.020202020202020204,0.03571428571428571
4,5,98,96,2,22.02,28,27,1,23.61,154920,151192,48744,46720,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3098400.0,3023840.0,974880.0,934400.0,0.02040816326530612,0.03571428571428571
5,6,98,96,2,21.43,28,27,1,23.32,152320,148592,46184,44160,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3046400.0,2971840.0,923680.0,883200.0,0.02040816326530612,0.03571428571428571
6,7,98,96,2,21.86,28,27,1,23.68,154744,151016,47072,45048,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3094880.0,3020320.0,941440.0,900960.0,0.02040816326530612,0.03571428571428571
7,8,97,95,2,21.28,28,27,1,22.89,148688,145408,46368,44344,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,2973760.0,2908160.0,927360.0,886880.0,0.020618556701030927,0.03571428571428571
8,9,96,95,1,21.93,28,27,1,23.39,152264,150400,47304,45280,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3045280.0,3008000.0,946080.0,905600.0,0.010416666666666666,0.03571428571428571
9,10,97,95,2,22.14,29,27,2,23.66,156168,152120,49936,45632,7,1000000,51,5,241221-132024_Run_417_Idx_79079,2000,1000000,4.69e-05,20000000,3123360.0,3042400.0,998720.0,912640.0,0.020618556701030927,0.06896551724137931
