timestamp,error_indication_count,average_latency,latency_histogram,pci,rnti,cqi,ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_bs,pusch_snr_db,pucch_snr_db,ta_ns,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,bsr
1740336090.908,0,5,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,27,1312.0,2,0,0,27.631,1.4891485,89.009603,28,8704.0,2,0,0
1740336091.908,0,8,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,18449208.0,629,1,62953,27.758589,14.441713,145.975747,28,383320.0,75,0,535
1740336092.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44136480.0,1397,1,298523,28.47402,15.80928,97.147627,28,456056.0,103,0,535
1740336093.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,43781824.0,1397,3,573648,28.75835,15.738099,137.837731,28,454936.0,103,0,745
1740336094.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,0,847061,28.839417,15.928295,145.975747,28,493864.0,106,0,535
1740336095.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,43975152.0,1397,2,1128695,28.568169,15.630296,112.915039,28,476208.0,107,0,535
1740336096.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44247944.0,1400,1,1406373,28.282473,15.5334835,80.871580,28,484656.0,106,0,535
1740336097.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44203392.0,1399,1,1679539,28.78945,15.397615,162.251794,28,481368.0,105,0,745
1740336098.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,0,1948716,29.117088,15.664319,169.881190,28,493576.0,103,0,745
1740336099.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44344032.0,1398,1,2217560,28.572378,15.493387,236.002606,28,489536.0,101,0,535
1740336100.908,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44451600.0,1401,0,2294854,28.96905,16.306782,112.915039,28,495016.0,103,0,535
1740336101.908,0,12,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44203392.0,1399,1,2260849,28.557732,16.066652,55.948895,28,490112.0,104,0,384
1740336102.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44379888.0,1399,1,2341187,28.38608,15.979469,104.777023,28,483968.0,101,0,535
1740336103.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44287416.0,1398,1,2292908,28.094662,15.677015,145.975747,28,470640.0,103,0,14
1740336104.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,22,30046312.0,1304,96,2259353,28.486467,15.921306,112.915039,28,253928.0,60,0,0
1740336105.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24651624.0,1300,100,1928298,28.241402,15.842664,104.777023,28,217600.0,50,0,0
1740336106.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,2144232,28.788681,15.6890545,187.174479,28,217600.0,50,0,0
1740336107.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24679776.0,1301,100,1950106,28.820473,15.33376,187.174479,28,217384.0,51,0,0
1740336108.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,2165734,28.731081,15.738307,65.104167,28,217600.0,50,0,0
1740336109.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24651624.0,1300,100,2109118,28.107452,16.598385,97.147627,28,216752.0,51,0,0
1740336110.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,2050567,28.648237,16.194365,112.915039,28,219536.0,51,0,0
1740336111.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24658272.0,1300,100,2130174,28.255442,16.308855,130.208335,28,217600.0,50,0,0
1740336112.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,2071294,28.746561,16.103107,145.975747,28,217600.0,50,0,0
1740336113.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24651624.0,1300,100,2151407,28.513649,16.056309,122.070318,28,217384.0,51,0,0
1740336114.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,1957548,28.737322,15.957007,130.208335,28,217600.0,50,0,0
1740336115.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24658272.0,1300,100,2173209,28.393133,15.744255,194.803874,28,216584.0,53,0,0
1740336116.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24634728.0,1299,100,1978556,28.29104,15.774051,145.975747,28,217600.0,50,0,0
1740336117.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24651624.0,1300,100,2194397,28.7394,15.517721,179.036462,28,217600.0,50,0,0
1740336118.909,0,13,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24677736.0,1301,100,1999763,28.713362,16.55485,179.036462,28,217600.0,50,0,0
1740336119.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24658272.0,1300,100,2216197,28.310656,16.34403,137.837731,28,219472.0,52,0,0
1740336120.908,0,13,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,2021899,28.866161,16.332827,169.881190,28,217600.0,50,0,0
1740336121.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24651624.0,1300,100,2101388,28.798746,16.221462,179.036462,28,217384.0,51,0,0
1740336122.908,0,11,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24656232.0,1300,100,2179521,28.756842,16.032543,130.208335,28,217600.0,50,0,0
1740336123.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,20,24658272.0,1300,100,1985739,28.887722,15.860667,130.208335,28,217600.0,50,0,0
