timestamp,error_indication_count,average_latency,latency_histogram,pci,rnti,cqi,ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_bs,pusch_snr_db,pucch_snr_db,ta_ns,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,bsr
1740331813.909,0,6,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,27,3636024.0,142,0,0,36.667217,14.765203,137.837731,28,127208.0,28,0,1038
1740331814.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,38159640.0,1226,0,176384,35.521847,19.057562,145.975747,28,532296.0,104,0,535
1740331815.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44415744.0,1400,1,455632,36.424274,19.399643,169.881190,28,467952.0,103,0,535
1740331816.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44379888.0,1399,0,724800,35.946903,20.200468,89.009603,28,469616.0,102,0,745
1740331817.909,0,14,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44387568.0,1399,2,1001955,36.046974,20.976885,122.070318,28,474344.0,103,0,384
1740331818.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44415744.0,1400,0,1276754,36.250057,20.749784,122.070318,28,492680.0,105,0,535
1740331819.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44415744.0,1400,0,1562821,36.509964,20.43477,130.208335,28,472552.0,107,0,535
1740331820.909,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44415744.0,1400,0,1832019,36.056175,20.199322,112.915039,28,494224.0,103,0,535
1740331821.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44408568.0,1400,0,2107712,36.508076,19.84013,154.113778,28,509056.0,106,0,745
1740331822.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44379888.0,1399,0,2213216,36.32737,19.61481,145.975747,28,488616.0,101,0,745
1740331823.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44415744.0,1400,0,2289076,36.12282,19.483242,162.251794,28,500784.0,105,0,276
1740331824.909,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44415744.0,1400,0,2228922,36.192314,19.200056,162.251794,28,481488.0,103,0,535
1740331825.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44408568.0,1400,1,2310152,35.857437,20.074837,97.147627,28,480760.0,106,0,535
1740331826.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44344032.0,1398,1,2254081,36.045944,21.175272,89.009603,28,455352.0,101,0,745
1740331827.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44451600.0,1401,0,2329573,36.17724,20.88309,112.915039,28,497248.0,105,0,745
1740331828.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,28,44344032.0,1398,1,2273877,36.32476,20.513983,112.915039,28,474824.0,103,0,535
1740331829.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,15,1.0,27,40710928.0,1326,75,2145357,36.588623,19.504093,112.915039,28,355768.0,79,8,0
1740331830.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19375792.0,1253,147,2069664,35.03585,17.761787,162.251794,28,204760.0,53,26,0
1740331831.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19305352.0,1255,144,1856410,34.771637,17.474985,145.975747,27,189432.0,55,27,535
1740331832.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19412920.0,1262,139,1908331,34.40064,17.202728,130.208335,27,202176.0,57,28,0
1740331833.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19328408.0,1256,144,1968576,34.894604,17.075775,154.113778,27,183792.0,54,29,142
1740331834.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19008088.0,1237,163,1930827,34.443203,16.744429,187.174479,27,198152.0,57,33,276
1740331835.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19370920.0,1259,141,1849442,34.659084,18.146336,112.915039,27,203976.0,53,30,745
1740331836.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19214888.0,1249,150,1921014,34.37099,18.617596,112.915039,27,192568.0,57,28,384
1740331837.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19561800.0,1270,131,1954434,35.13319,18.241676,112.915039,27,201608.0,55,24,0
1740331838.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19401688.0,1261,139,1867823,35.56963,18.184645,137.837731,28,211792.0,58,23,535
1740331839.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19542088.0,1270,130,1901547,35.15658,17.971148,145.975747,27,208064.0,54,22,0
1740331840.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19523632.0,1269,130,1935385,35.044567,17.710295,130.208335,27,183976.0,54,24,276
1740331841.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19260016.0,1252,149,1869227,34.389496,17.679462,154.113778,27,185600.0,51,28,0
1740331842.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19302008.0,1254,146,1931392,34.200787,17.108728,137.837731,27,191736.0,56,28,0
1740331843.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19378144.0,1259,141,1851236,34.689327,17.009066,169.881190,27,193992.0,53,24,0
1740331844.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19551328.0,1270,130,1880193,34.562546,17.296566,97.147627,27,198584.0,56,25,198
1740331845.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,20415688.0,1322,77,1939529,34.952892,19.775911,104.777023,27,274320.0,77,13,0
1740331846.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19787008.0,1284,117,1944882,35.064808,19.291908,137.837731,27,226008.0,62,25,384
1740331847.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19549264.0,1270,130,1977055,34.613598,18.254824,112.915039,27,192888.0,55,24,198
1740331848.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19601264.0,1273,127,1867001,35.135212,18.219883,137.837731,28,211392.0,54,22,0
1740331849.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19333768.0,1257,143,1925129,34.777252,17.66394,137.837731,27,195120.0,58,30,384
1740331850.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19398592.0,1261,138,1974497,34.627697,17.798775,154.113778,27,201416.0,57,28,535
1740331851.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19768576.0,1284,117,1982154,34.639004,17.165438,137.837731,27,196288.0,56,24,0
1740331852.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19294072.0,1254,146,1909664,34.97079,17.105364,137.837731,27,200056.0,52,29,276
1740331853.909,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19702720.0,1280,120,1921971,34.787037,16.976454,169.881190,27,210416.0,55,26,0
1740331854.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19584040.0,1273,127,1814102,34.626896,18.733902,122.070318,27,195472.0,55,30,0
1740331855.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19476472.0,1266,134,1855943,34.28262,18.689121,137.837731,27,195080.0,59,22,384
1740331856.909,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19314592.0,1255,145,1916493,34.770855,18.496092,130.208335,27,193904.0,56,26,0
1740331857.909,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17966,14,1.0,18,19602256.0,1274,126,1942744,34.99786,18.254734,130.208335,27,201016.0,57,28,535
