timestamp,error_indication_count,average_latency,latency_histogram,pci,rnti,cqi,ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_bs,pusch_snr_db,pucch_snr_db,ta_ns,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,bsr
1740335947.908,0,7,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,10315120.0,353,0,41863,27.487848,12.750643,137.837731,27,317240.0,39,0,1038
1740335948.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44398848.0,1399,0,288548,28.540884,15.475865,122.070318,28,495160.0,102,0,535
1740335949.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44204408.0,1399,1,578432,28.698648,15.495223,154.113778,28,496536.0,102,0,745
1740335950.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,0,858884,28.760305,15.277061,236.002606,28,491832.0,105,0,535
1740335951.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,0,1139307,28.841166,15.156626,73.242191,28,473096.0,103,0,745
1740335952.908,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,0,1425398,28.728207,16.475456,97.147627,28,511200.0,107,0,384
1740335953.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44372712.0,1399,1,1674653,28.540335,16.08007,162.251794,28,481968.0,102,0,745
1740335954.908,0,13,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,0,1952287,28.581617,16.125135,162.251794,28,509488.0,104,0,535
1740335955.908,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44379888.0,1399,0,2230825,28.292812,15.688236,179.036462,28,507736.0,106,0,535
1740335956.909,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,18262,15,1.0,28,44415744.0,1400,1,2239431,28.35517,15.788136,145.975747,28,483976.0,101,0,535
