timestamp,error_indication_count,average_latency,latency_histogram,pci,rnti,cqi,ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_bs,pusch_snr_db,pucch_snr_db,ta_ns,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,bsr
1740764149.961,0,6,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,27,5520.0,6,0,0,33.7252,8.183088,122.070318,28,21760.0,5,0,0
1740764150.9620001,0,7,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,11868840.0,425,2,22496,31.4255,25.044651,130.208335,28,446904.0,48,0,2806
1740764151.9620001,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,37756904.0,1203,0,175853,32.48913,25.29348,137.837731,28,472128.0,80,0,384
1740764152.9620001,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44408568.0,1400,0,451560,33.01638,25.3558,137.837731,28,481560.0,100,0,384
1740764153.9620001,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,720744,32.898243,24.937805,145.975747,28,477224.0,100,0,745
1740764154.9620001,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,1001175,32.998302,24.687145,154.113778,28,472000.0,100,0,535
1740764155.961,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,1275970,33.09706,24.417892,162.251794,28,465624.0,100,0,535
1740764156.9620001,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44408568.0,1400,0,1551700,33.115402,25.499197,104.777023,28,504016.0,100,0,745
1740764157.9620001,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44362992.0,1398,2,1827452,33.1529,25.61249,112.915039,28,493800.0,100,0,535
1740764158.961,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44379888.0,1399,1,2099669,33.022064,25.298368,112.915039,28,480144.0,98,0,384
1740764159.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44398848.0,1399,1,2214365,33.071743,25.051186,122.070318,28,491424.0,100,0,535
1740764160.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44408568.0,1400,0,2291467,32.981422,24.788578,130.208335,28,455552.0,100,0,745
1740764161.9620001,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2230937,33.183002,25.457869,137.837731,28,457040.0,100,0,745
1740764162.9620001,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2306810,33.04964,25.221422,145.975747,28,478680.0,100,0,535
1740764163.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2246288,32.92866,24.867722,154.113778,28,488712.0,100,0,535
1740764164.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44372712.0,1399,1,2191497,32.939003,24.596613,162.251794,28,465856.0,100,0,535
1740764165.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2267362,32.895683,25.129541,97.147627,28,474424.0,100,0,745
1740764166.961,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2206844,33.032883,25.80811,104.777023,28,466152.0,100,0,535
1740764167.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2282730,33.01538,25.463797,112.915039,28,475952.0,100,0,384
1740764168.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,14,1.0,26,32053344.0,1131,269,2274878,32.985,20.492847,122.070318,28,298256.0,68,0,0
1740764169.961,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,8,1.0,6,6240256.0,1259,141,2217865,32.6292,18.10812,130.208335,28,217600.0,50,0,0
1740764170.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2850888.0,1301,99,2147551,32.61172,18.217077,137.837731,28,217600.0,50,0,0
1740764171.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,2090624,32.5434,18.377342,145.975747,28,217600.0,50,0,0
1740764172.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2742440.0,1305,95,2032978,32.60844,18.10075,154.113778,28,217600.0,50,0,0
1740764173.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732808.0,1301,99,2112996,32.556843,17.750267,162.251794,28,217600.0,50,0,0
1740764174.961,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2735216.0,1302,98,2055119,32.61544,17.874569,162.251794,28,217600.0,50,0,0
1740764175.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,1998519,32.84804,18.38646,104.777023,28,217600.0,50,0,0
1740764176.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,2076895,32.75404,18.390888,112.915039,28,217600.0,50,0,0
1740764177.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,2020297,32.837883,18.207718,122.070318,28,217600.0,50,0,0
1740764178.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,1963050,32.703163,18.0621,130.208335,28,217600.0,50,0,0
1740764179.961,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,2041429,32.62756,17.955605,137.837731,28,217600.0,50,0,0
1740764180.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732808.0,1301,99,1985274,32.490562,18.137655,145.975747,28,217600.0,50,0,0
1740764181.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2730400.0,1300,100,2065066,32.6916,18.204485,154.113778,28,217600.0,50,0,0
1740764182.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732808.0,1301,99,2007230,32.663723,17.904215,154.113778,28,217600.0,50,0,0
1740764183.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732808.0,1301,99,2087008,32.656723,17.63804,162.251794,28,217600.0,50,0,0
1740764184.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732424.0,1301,99,2029931,32.722122,18.349318,104.777023,28,217600.0,50,0,0
1740764185.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732808.0,1301,99,1972031,32.721363,18.476252,112.915039,28,217600.0,50,0,0
1740764186.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2758912.0,1312,88,2048752,32.58564,18.931856,122.070318,28,217600.0,50,0,0
1740764187.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,2732808.0,1301,99,1991049,32.68516,18.18842,130.208335,28,217600.0,50,0,0
1740764188.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,2,3128624.0,1366,34,2021236,32.78004,22.8313,130.208335,28,212232.0,52,0,0
1740764189.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,4,5149992.0,1400,0,2071657,33.132523,26.063908,137.837731,28,217600.0,50,0,0
1740764190.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,7,7981112.0,1400,0,2041415,32.87151,25.583586,145.975747,28,214280.0,61,0,198
1740764191.961,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,7,1.0,10,11123216.0,1400,0,2029408,31.9358,24.679758,154.113778,27,245824.0,100,0,198
1740764192.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,8,1.0,15,17729912.0,1400,0,2008411,33.05064,24.408953,162.251794,28,463816.0,100,0,384
1740764193.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,12,1.0,25,38018336.0,1400,0,2322589,33.22364,25.264437,104.777023,28,496800.0,100,0,384
1740764194.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44415744.0,1400,0,2262085,33.2848,25.627296,104.777023,28,481704.0,100,0,535
1740764195.961,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,17921,15,1.0,28,44379888.0,1399,1,2204608,33.122242,25.451921,112.915039,28,458728.0,100,0,745
