timestamp,error_indication_count,average_latency,latency_histogram,pci,rnti,cqi,ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_bs,pusch_snr_db,pucch_snr_db,ta_ns,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,bsr
1740934303.165,0,6,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,4091872.0,152,0,0,33.222218,16.442917,154.113778,28,139192.0,28,0,0
1740934304.165,0,10,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,24908840.0,808,0,67868,31.824886,23.479324,130.208335,28,504296.0,61,0,384
1740934305.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44379888.0,1399,1,341535,33.45446,22.718456,137.837731,28,486792.0,100,0,745
1740934306.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44408568.0,1400,0,645349,33.393223,22.404297,145.975747,28,466176.0,100,0,535
1740934307.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44379888.0,1399,0,897663,33.300922,22.27665,162.251794,28,476456.0,100,0,535
1740934308.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44415744.0,1400,0,1166850,33.263622,21.974682,162.251794,28,474856.0,100,0,745
1740934309.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44451600.0,1401,0,1469753,33.36154,23.31716,112.915039,28,469328.0,100,0,535
1740934310.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44372712.0,1399,1,1761143,33.382328,23.91569,112.915039,28,473744.0,98,0,276
1740934311.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44379888.0,1399,1,2001041,33.33792,23.648556,97.147627,28,485320.0,98,0,535
1740934312.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44379888.0,1399,1,2204508,33.472603,23.429573,122.070318,28,477384.0,100,0,745
1740934313.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44415744.0,1400,0,2280371,33.3007,23.124365,130.208335,28,466840.0,100,0,535
1740934314.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44408568.0,1400,0,2221101,33.52166,22.845366,145.975747,28,475552.0,100,0,745
1740934315.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44415744.0,1400,0,2296952,33.331482,22.78824,162.251794,28,478408.0,100,0,535
1740934316.165,0,12,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44379888.0,1399,0,2236447,33.37764,22.47841,137.837731,28,477784.0,100,0,745
1740934317.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44451600.0,1401,0,2312307,33.38676,22.18555,169.881190,28,475888.0,100,0,535
1740934318.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44336856.0,1398,1,2257496,33.38254,21.87453,179.036462,28,460912.0,100,0,535
1740934319.165,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44451600.0,1401,0,2333350,33.3311,23.077202,89.009603,28,470680.0,100,0,535
1740934320.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,44415744.0,1400,0,2272826,33.41634,23.982542,130.208335,28,458296.0,100,0,745
1740934321.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,15,1.0,28,37350208.0,1188,212,2140799,29.61765,21.165062,112.915039,28,295536.0,63,5,0
1740934322.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,11,1.0,20,20910872.0,1064,336,2203495,20.192766,19.230967,179.036462,27,129967.99999999999,35,12,0
1740934323.165,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,31314,6,1.0,5,5167392.0,1190,209,2121813,20.384531,18.58151,130.208335,27,134256.0,37,12,0
