Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,1.90,15.9,0,KBytes
1.00,5.38,45.1,0,KBytes
2.00,5.50,46.1,0,KBytes
3.00,5.62,47.2,0,KBytes
4.00,5.62,47.2,0,MBytes
5.00,5.00,41.9,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.12,43.0,0,MBytes
11.00,5.00,41.9,0,MBytes
12.00,5.12,43.0,0,MBytes
13.00,5.00,41.9,0,MBytes
14.00,5.12,43.0,0,MBytes
15.00,5.00,41.9,0,MBytes
16.00,5.00,41.9,0,MBytes
17.00,4.75,39.8,0,MBytes
18.00,0.00,0.00,1,KBytes
19.00,0.00,0.00,0,KBytes
20.00,256,2.10,39,KBytes
21.00,0.00,0.00,0,KBytes
22.00,0.00,0.00,0,KBytes
23.00,0.00,0.00,0,KBytes
24.00,0.00,0.00,0,KBytes
25.00,0.00,0.00,0,KBytes
26.00,0.00,0.00,0,KBytes
27.00,0.00,0.00,0,KBytes
28.00,4.50,37.7,241,KBytes
29.00,2.88,24.1,0,MBytes
30.00,2.75,23.1,0,MBytes
31.00,2.50,21.0,0,MBytes
32.00,2.50,21.0,0,MBytes
33.00,2.38,19.9,0,MBytes
34.00,512,4.19,0,MBytes
35.00,0.00,0.00,1,KBytes
36.00,0.00,0.00,0,KBytes
37.00,0.00,0.00,1,KBytes
38.00,4.75,39.8,1225,MBytes
39.00,5.00,41.9,0,MBytes
40.00,5.12,43.0,0,MBytes
41.00,5.00,41.9,0,MBytes
42.00,5.00,41.9,0,MBytes
43.00,5.12,43.0,0,MBytes
44.00,5.00,41.9,0,MBytes
45.00,5.00,41.9,0,MBytes
46.00,2.38,43.5,0,MBytes
0.00,150,27.0,1508,
0.00,0.00,0.00,receiver,
